event_id,kickoff,home,away,home_key,away_key,home_sp,away_sp,proj_home,actual_home,model_err,market_err,archival_home_spread,opening_home_spread,selected_side,selected_team,sel_proj,sel_actual,edge,rec,action,action_roll,ats,units,proj_ok,time_ok,ident_ok,result_ok,sbucket,ebucket,move,absmove
401532413,2023-09-30T18:30:00.000Z,Kent State,Miami (OH),Kent St.,Miami-OH,-23.2,-5.4,-15.299999999999997,-20,4.700000000000003,5.5,14.5,15.5,away,Miami (OH),15.299999999999997,20,0.8,No Play,No Play,Guarded / Other,win,0.0,True,True,True,True,14–20.5,<1.0,-1.0,1.0
401524022,2023-09-30T19:00:00.000Z,California,Arizona State,California,Arizona St.,1.4,-8.1,12.0,3,9.0,9.5,-12.5,-12.0,away,Arizona State,-12.0,-3,0.5,No Play,No Play,Guarded / Other,win,0.0,True,True,True,True,7–13.5,<1.0,-0.5,0.5
401520280,2023-09-30T19:30:00.000Z,Auburn,Georgia,Auburn,Georgia,9.1,26.2,-14.600000000000001,-7,-7.600000000000001,-7.0,14.0,18.5,away,Georgia,14.600000000000001,7,0.6,No Play,No Play,Guarded / Other,loss,0.0,True,True,True,True,14–20.5,<1.0,-4.5,4.5
401520283,2023-09-30T19:30:00.000Z,Maryland,Indiana,Maryland,Indiana,11.9,-6.9,21.3,27,-5.699999999999999,-13.0,-14.0,-14.0,home,Maryland,21.3,27,7.3,Value,Model Play,Model Play,win,0.25,True,True,True,True,21–27.5,7.0–9.9,0.0,0.0
401520286,2023-09-30T19:30:00.000Z,Nebraska,Michigan,Nebraska,Michigan,1.9,26.7,-22.3,-38,15.7,21.0,17.0,18.0,away,Michigan,22.3,38,5.3,Value,Review Only,Review Only,win,0.0,True,True,True,True,21–27.5,4.0–6.9,-1.0,1.0
401520289,2023-09-30T19:30:00.000Z,Purdue,Illinois,Purdue,Illinois,-3.3,3.8,-4.6,25,-29.6,-24.0,-1.0,-1.0,away,Illinois,4.6,-25,5.6,Value,Review Only,Review Only,loss,0.0,True,True,True,True,0–6.5,4.0–6.9,0.0,0.0
401525515,2023-09-30T19:30:00.000Z,Georgia Tech,Bowling Green,Ga. Tech,BGSU,-2.3,-18.5,18.7,-11,29.7,33.0,-22.0,-22.0,away,Bowling Green,-18.7,11,3.3,Lean,Review Only,Review Only,win,0.0,True,True,True,True,14–20.5,2.0–3.9,0.0,0.0
401525854,2023-09-30T19:30:00.000Z,Texas,Kansas,Texas,Kansas,24.0,7.1,19.4,26,-6.600000000000001,-9.5,-16.5,-18.0,home,Texas,19.4,26,2.9,Lean,Review Only,Review Only,win,0.0,True,True,True,True,14–20.5,2.0–3.9,1.5,1.5
401525855,2023-09-30T19:30:00.000Z,Texas Tech,Houston,Texas Tech,Houston,8.7,0.1,11.1,21,-9.9,-12.5,-8.5,-10.0,home,Texas Tech,11.1,21,2.6,Lean,Review Only,Review Only,win,0.0,True,True,True,True,7–13.5,2.0–3.9,1.5,1.5
401525856,2023-09-30T19:30:00.000Z,UCF,Baylor,UCF,Baylor,12.1,0.7,13.9,-1,14.9,13.5,-12.5,-11.5,home,UCF,13.9,-1,1.4,Watch,Review Only,Review Only,loss,0.0,True,True,True,True,14–20.5,1.0–1.9,-1.0,1.0
401526836,2023-09-30T19:30:00.000Z,Massachusetts,Arkansas State,UMass,Arkansas St.,-18.3,-15.7,-0.10000000000000142,-24,23.9,25.0,-1.0,-1.0,away,Arkansas State,0.10000000000000142,24,1.1,Watch,Review Only,Review Only,win,0.0,True,True,True,True,0–6.5,1.0–1.9,0.0,0.0
401531424,2023-09-30T19:30:00.000Z,Navy,South Florida,Navy,USF,-13.8,-13.0,1.6999999999999993,-14,15.7,17.0,-3.0,-4.0,away,South Florida,-1.6999999999999993,14,1.3,Watch,Review Only,Review Only,win,0.0,True,True,True,True,0–6.5,1.0–1.9,1.0,1.0
401531881,2023-09-30T19:30:00.000Z,Marshall,Old Dominion,Marshall,ODU,-1.1,-12.1,13.5,6,7.5,8.0,-14.0,-14.0,away,Old Dominion,-13.5,-6,0.5,No Play,No Play,Guarded / Other,win,0.0,True,True,True,True,7–13.5,<1.0,0.0,0.0
