event_id,home,away,static_home_margin,weekly_home_margin,abs_line_change,static_abs_error,weekly_abs_error,static_signed_error,weekly_signed_error,archival_abs_error,static_edge,weekly_edge,static_edge_bucket,weekly_edge_bucket,static_rec,weekly_rec,static_model_play,weekly_model_play
401532409,Western Michigan,Ball State,0.09999999999999964,2.099999999999998,1.9999999999999982,17.9,15.900000000000002,-17.9,-15.900000000000002,16.5,1.4,0.6,1.0–1.9,<1.0,Watch,No Play,False,False
401532411,Toledo,Northern Illinois,17.6,22.400000000000002,4.800000000000001,15.600000000000001,20.400000000000002,15.600000000000001,20.400000000000002,11.0,4.6,9.4,4.0–6.9,7.0–9.9,Value,Value,False,True
401520293,Vanderbilt,Missouri,-10.3,-14.100000000000001,3.8000000000000007,6.699999999999999,2.8999999999999986,6.699999999999999,2.8999999999999986,3.5,3.2,0.6,2.0–3.9,<1.0,Lean,No Play,False,False
401531429,Memphis,Boise State,3.5999999999999996,7.2,3.6000000000000005,0.5999999999999996,4.2,0.5999999999999996,4.2,0.5,0.1,3.7,<1.0,2.0–3.9,No Play,Lean,False,False
401532586,UNLV,Hawai'i,15.299999999999999,10.7,4.6,8.700000000000001,13.3,-8.700000000000001,-13.3,13.0,4.3,0.3,4.0–6.9,<1.0,Value,No Play,False,False
401532588,Wyoming,New Mexico,18.599999999999998,12.100000000000001,6.4999999999999964,9.599999999999998,3.1000000000000014,9.599999999999998,3.1000000000000014,5.0,4.6,1.9,4.0–6.9,1.0–1.9,Value,Watch,False,False
401520288,Ole Miss,LSU,2.5,2.200000000000001,0.29999999999999893,3.5,3.799999999999999,-3.5,-3.799999999999999,8.5,5.0,4.7,4.0–6.9,4.0–6.9,Value,Value,False,False
401524024,Stanford,Oregon,-23.599999999999998,-31.1,7.5000000000000036,12.400000000000002,4.899999999999999,12.400000000000002,4.899999999999999,9.0,3.4,4.1,2.0–3.9,4.0–6.9,Lean,Value,False,False
401525852,Oklahoma,Iowa State,12.600000000000001,20.8,8.2,17.4,9.2,-17.4,-9.2,10.0,7.4,0.8,7.0–9.9,<1.0,Value,No Play,True,False
401531414,Rice,East Carolina,-13.8,0.8999999999999986,14.7,20.8,6.100000000000001,-20.8,-6.100000000000001,3.5,17.3,2.6,10.0+,2.0–3.9,Value,Lean,False,False
401531878,Georgia Southern,Coastal Carolina,-4.5,-2.3,2.2,14.5,12.3,-14.5,-12.3,3.5,11.0,8.8,10.0+,7.0–9.9,Value,Value,False,True
401531879,Georgia State,Troy,-8.899999999999999,3.1,11.999999999999998,12.100000000000001,24.1,12.100000000000001,24.1,22.5,10.4,1.6,10.0+,1.0–1.9,Value,Watch,False,False
401531883,Southern Miss,Texas State,10.5,-3.0999999999999996,13.6,24.5,10.9,24.5,10.9,9.0,15.5,1.9,10.0+,1.0–1.9,Value,Watch,False,False
401520281,Iowa,Michigan State,14.0,8.0,6.0,4.0,2.0,4.0,-2.0,2.5,1.5,4.5,1.0–1.9,4.0–6.9,Watch,Value,False,False
401520291,Tennessee,South Carolina,15.0,14.099999999999998,0.9000000000000021,6.0,6.900000000000002,-6.0,-6.900000000000002,8.5,2.5,1.6,2.0–3.9,1.0–1.9,Lean,Watch,False,False
401525438,Duke,Notre Dame,-2.8000000000000007,-2.5999999999999996,0.20000000000000107,4.199999999999999,4.4,4.199999999999999,4.4,1.5,2.7,2.9,2.0–3.9,2.0–3.9,Lean,Lean,False,False
401531404,SMU,Charlotte,23.599999999999998,23.5,0.09999999999999787,5.599999999999998,5.5,5.599999999999998,5.5,5.5,0.1,0.0,<1.0,<1.0,No Play,No Play,False,False
401525516,Virginia Tech,Pittsburgh,-15.600000000000001,-5.699999999999999,9.900000000000002,32.6,22.7,-32.6,-22.7,19.5,13.1,3.2,10.0+,2.0–3.9,Value,Lean,False,False
401525853,TCU,West Virginia,24.400000000000002,14.0,10.400000000000002,27.400000000000002,17.0,27.400000000000002,17.0,15.5,11.9,1.5,10.0+,1.0–1.9,Value,Watch,False,False
401531882,UL Monroe,App State,-14.899999999999999,-13.0,1.8999999999999986,13.899999999999999,12.0,-13.899999999999999,-12.0,12.5,1.4,0.5,1.0–1.9,<1.0,Watch,No Play,False,False
401532589,Air Force,San Diego State,10.8,16.5,5.699999999999999,28.2,22.5,-28.2,-22.5,28.5,0.3,6.0,<1.0,4.0–6.9,No Play,Value,False,False
401520285,Mississippi State,Alabama,-12.4,-15.200000000000003,2.8000000000000025,10.6,7.799999999999997,10.6,7.799999999999997,8.5,2.1,0.7,2.0–3.9,<1.0,Lean,No Play,False,False
401524021,Arizona,Washington,-16.4,-18.1,1.7000000000000028,9.399999999999999,11.100000000000001,-9.399999999999999,-11.100000000000001,13.0,3.6,1.9,2.0–3.9,1.0–1.9,Lean,Watch,False,False
401532587,Fresno State,Nevada,28.2,28.5,0.3000000000000007,10.2,10.5,10.2,10.5,6.5,3.7,4.0,2.0–3.9,4.0–6.9,Lean,Value,False,False
