event_id,season,week,kickoff,home_team,away_team,selected_team,selected_side,provider,line_source,historical_market_line,market_price,price_available,opening_market_line,model_line,projected_selected_margin,edge_points,recommendation,actionability,confidence_score,model_suggested_units,signal_source,home_score,away_score,actual_selected_side_margin,signed_forecast_error,absolute_forecast_error,market_absolute_error,ats_result,ratings_season,ratings_target_week,ratings_source,ratings_source_label,ratings_source_url,ratings_published_at,ratings_safe_after,ratings_sha256,replay_as_of,model_version,production_code_sha256
401520287,2023,5,2023-09-30T16:00:00.000Z,Northwestern,Penn State,Penn State,away,DraftKings,CFBD /lines archival DraftKings,-27.0,,False,-25.5,-28.2,28.2,1.2,Watch,Review Only,54,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Watch | Confidence: 54 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,13,41,28,-0.2,0.2,1.0,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401520292,2023,5,2023-09-30T16:00:00.000Z,UConn,Utah State,Utah State,away,DraftKings,CFBD /lines archival DraftKings,-6.0,,False,-4.5,-8.4,8.4,2.4,Lean,Review Only,59,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Lean | Confidence: 59 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,33,34,1,-7.4,7.4,5.0,loss,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401524023,2023,5,2023-09-30T16:00:00.000Z,Colorado,USC,USC,away,DraftKings,CFBD /lines archival DraftKings,-21.5,,False,-17.0,-26.2,26.2,4.7,Value,Review Only,68,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Value | Confidence: 68 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+ | Guards: below backtested actionable window,41,48,7,-19.2,19.2,14.5,loss,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401525514,2023,5,2023-09-30T16:00:00.000Z,Syracuse,Clemson,Syracuse,home,DraftKings,CFBD /lines archival DraftKings,6.5,,False,9.0,2.0,-2.0,4.5,Value,Review Only,67,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Value | Confidence: 67 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+ | Guards: below backtested actionable window,14,31,-17,-15.0,15.0,10.5,loss,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401531370,2023,5,2023-09-30T16:00:00.000Z,Tulane,UAB,Tulane,home,DraftKings,CFBD /lines archival DraftKings,-21.5,,False,-21.0,-23.1,23.1,1.6,Watch,Review Only,56,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Watch | Confidence: 56 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,35,23,12,-11.1,11.1,9.5,loss,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401531880,2023,5,2023-09-30T16:00:00.000Z,James Madison,South Alabama,James Madison,home,DraftKings,CFBD /lines archival DraftKings,-3.0,,False,-1.0,-3.7,3.7,0.7,No Play,No Play,52,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: No Play | Confidence: 52 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,31,23,8,4.3,4.3,5.0,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401532412,2023,5,2023-09-30T16:00:00.000Z,Akron,Buffalo,Buffalo,away,DraftKings,CFBD /lines archival DraftKings,2.5,,False,2.5,0.8,-0.8,1.7,Watch,Review Only,56,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Watch | Confidence: 56 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,10,13,3,3.8,3.8,5.5,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401532410,2023,5,2023-09-30T17:30:00.000Z,Central Michigan,Eastern Michigan,Eastern Michigan,away,DraftKings,CFBD /lines archival DraftKings,7.5,,False,7.5,-0.1,0.1,7.6,Value,Model Play,75,0.25,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: Value | Confidence: 75 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,26,23,-3,-3.1,3.1,4.5,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401525513,2023,5,2023-09-30T18:00:00.000Z,Boston College,Virginia,Virginia,away,DraftKings,CFBD /lines archival DraftKings,3.5,,False,3.0,3.2,-3.2,0.3,No Play,No Play,51,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: No Play | Confidence: 51 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,27,24,-3,0.2,0.2,0.5,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
401532413,2023,5,2023-09-30T18:30:00.000Z,Kent State,Miami (OH),Miami (OH),away,DraftKings,CFBD /lines archival DraftKings,-14.5,,False,-15.5,-15.3,15.3,0.8,No Play,No Play,53,0.0,NCAAF Spread Model v0.6 Backtested Edge Window | Recommendation: No Play | Confidence: 53 | Home Tier: Historical weekly SP+ snapshot; Away Tier: Historical weekly SP+ snapshot; Home Source: Bill Connelly ESPN post-Week 4 SP+; Away Source: Bill Connelly ESPN post-Week 4 SP+,3,23,20,4.7,4.7,5.5,win,2023,5,ESPN,Bill Connelly ESPN post-Week 4 SP+,https://www.espn.com/college-football/insider/story/_/id/38478223/college-football-2023-week-4-sp%2B-rankings-takeaways,2023-09-24T09:00:00-04:00,2023-09-24T09:00:00-04:00,0233e6ee072b577c7c41c23467b53ce847c25e731390919061f2496c180b6fb5,2023-09-24T09:00:00-04:00,NCAAF v0.6 frozen production logic,943a78d33262da5cfec4b3490cf62ed35b839a1a424a2fe5f33bb23d27f8931b
