season,source,source_label,source_url,published_at,target_week,safe_after,team,rating,ratings_sha256
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Air Force,8.6,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Akron,-18.6,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Alabama,20.1,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,App. St.,-4.5,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Arizona,8.3,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Arizona St.,-6.4,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Arkansas,3.9,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Arkansas St.,-14.4,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Army,-10.9,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Auburn,4.5,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Ball St.,-19.6,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Baylor,-1.0,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,BGSU,-15.6,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Boise St.,0.7,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Boston Coll.,-7.5,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Buffalo,-14.7,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,BYU,1.0,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,California,-1.6,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Charlotte,-20.4,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Cincinnati,1.7,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Clemson,17.3,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,CMU,-17.1,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Coastal Caro.,-1.2,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Colorado,-2.6,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 8,,2023-10-16T00:00:00-04:00,8,2023-10-16T00:00:00-04:00,Colorado St.,-12.3,61660a4052340c30529ac3980ad247fea37cd0d5123d746afc922e25a2414e74
