group,n,ats_record,ats_win_rate,model_mae,archival_dk_mae,median_ae,home_signed_bias,selected_side_signed_bias,model_better,market_better,ties
<1.0,144,69-71-4,49.29,12.05,12.02,10.95,-1.52,1.52,65,73,6
1.0-1.9,128,64-64-0,50.00,12.46,12.41,10.25,-1.58,1.58,63,65,0
2.0-3.9,190,100-86-4,53.76,12.30,12.35,11.10,-0.48,0.48,95,94,1
4.0-6.9,169,86-79-4,52.12,12.37,11.68,9.60,-4.60,4.60,72,97,0
7.0-9.9,51,26-21-4,55.32,12.07,11.19,10.90,-5.28,5.28,23,28,0
10.0+,15,6-9-0,40.00,17.85,11.60,16.60,-12.40,12.40,3,12,0
