group,n,ats_record,ats_win_rate,model_mae,archival_dk_mae,median_ae,home_signed_bias,selected_side_signed_bias,model_better,market_better,ties
0-6.5,250,129-115-6,52.87,11.96,11.85,9.85,-0.66,0.66,122,124,4
7-13.5,210,98-109-3,47.34,12.60,12.00,10.65,-3.40,3.40,88,121,1
14-20.5,133,72-57-4,55.81,12.29,11.88,10.40,-3.25,3.25,65,68,0
21-27.5,54,30-24-0,55.56,13.33,12.85,11.75,-2.68,2.68,24,28,2
28+,50,22-25-3,46.81,13.01,12.58,11.65,-5.77,5.77,22,28,0
