group,n,unconditioned_home_margin_bias,market_selected_side_bias
0-6.5,250,-0.66,0.66
7-13.5,210,-3.40,3.40
14-20.5,133,-3.25,3.25
21-27.5,54,-2.68,2.68
28+,50,-5.77,5.77
