group,n,ats_record,ats_win_rate,model_mae,archival_dk_mae,median_ae,home_signed_bias,selected_side_signed_bias,model_better,market_better,ties
Value,234,118-108-8,52.21,12.65,11.58,9.80,-5.21,5.21,98,136,0
Lean,188,100-84-4,54.35,12.26,12.32,11.10,-0.31,0.31,95,92,1
Watch,131,64-67-0,48.85,12.52,12.43,10.30,-1.89,1.89,63,68,0
No Play,144,69-71-4,49.29,12.05,12.02,10.95,-1.52,1.52,65,73,6
