team,rating
Missouri,12.0
Arkansas-Pine Bluff,-28.0
Utah,11.0
Idaho,-14.0
USC,13.0
San Jose State,-6.0
Colorado State,-8.0
Colorado,1.0
Penn State,18.0
Ohio State,20.0
Clemson,14.0
NC State,5.0
