season,week,game_id,gameday,away_team,home_team,selected_team,opponent_team,selected_side,market_line,market_odds,model_line,edge_points,recommendation,recommended_units,home_rating,away_rating,projected_home_margin,actual_home_margin,home_score,away_score,ats_result,cover_margin,flat_profit_units,recommended_profit_units
2022,2,2022_02_TEN_BUF,2022-09-19,TEN,BUF,TEN,BUF,away,10.0,-115,6.9,3.1,Lean,0.0,6.7,1.3,6.9,34,41,7,loss,-24.0,-1.0,-0.0
2022,2,2022_02_MIN_PHI,2022-09-19,MIN,PHI,MIN,PHI,away,2.5,106,1.7,0.8,No Play,0.0,1.6,1.4,1.7,17,24,7,loss,-14.5,-1.0,-0.0
2022,3,2022_03_PIT_CLE,2022-09-22,PIT,CLE,PIT,CLE,away,4.5,-111,4.0,0.5,No Play,0.0,0.5,-2.0,4.0,12,29,17,loss,-7.5,-1.0,-0.0
2022,3,2022_03_NO_CAR,2022-09-25,NO,CAR,CAR,NO,home,2.0,-109,-0.5,2.5,Watch,0.0,-0.8,0.2,0.5,8,22,14,win,10.0,0.9174,0.0
2022,3,2022_03_HOU_CHI,2022-09-25,HOU,CHI,CHI,HOU,home,-3.0,-103,-3.6,0.6,No Play,0.0,-3.0,-5.1,3.6,3,23,20,push,0.0,0.0,0.0
2022,3,2022_03_KC_IND,2022-09-25,KC,IND,IND,KC,home,4.5,-114,2.7,1.8,No Play,0.0,-0.5,3.7,-2.7,3,20,17,win,7.5,0.8772,0.0
2022,3,2022_03_BUF_MIA,2022-09-25,BUF,MIA,BUF,MIA,away,-4.0,-104,-5.0,1.0,No Play,0.0,0.5,7.0,-5.0,2,21,19,loss,-6.0,-1.0,-0.0
2022,3,2022_03_DET_MIN,2022-09-25,DET,MIN,DET,MIN,away,6.5,-101,4.8,1.7,No Play,0.0,-0.2,-3.5,4.8,4,28,24,win,2.5,0.9901,0.0
2022,3,2022_03_BAL_NE,2022-09-25,BAL,NE,NE,BAL,home,2.5,104,-5.4,7.9,Value,0.0,2.9,-1.0,5.4,-11,26,37,loss,-8.5,-1.0,-0.0
2022,3,2022_03_CIN_NYJ,2022-09-25,CIN,NYJ,NYJ,CIN,home,6.5,-115,3.5,3.0,Lean,0.0,-4.6,0.4,-3.5,-15,12,27,loss,-8.5,-1.0,-0.0
2022,3,2022_03_LV_TEN,2022-09-25,LV,TEN,TEN,LV,home,1.5,103,-2.3,3.8,Lean,0.0,-0.6,-1.4,2.3,2,24,22,win,3.5,1.03,0.0
2022,3,2022_03_PHI_WAS,2022-09-25,PHI,WAS,WAS,PHI,home,6.0,-112,3.3,2.7,Watch,0.0,-1.9,2.9,-3.3,-16,8,24,loss,-10.0,-1.0,-0.0
2022,3,2022_03_JAX_LAC,2022-09-25,JAX,LAC,JAX,LAC,away,6.5,-106,4.7,1.8,No Play,0.0,1.4,-1.8,4.7,-28,10,38,win,34.5,0.9434,0.0
2022,3,2022_03_LA_ARI,2022-09-25,LA,ARI,ARI,LA,home,3.5,-115,-0.4,3.9,Lean,0.0,0.4,1.5,0.4,-8,12,20,loss,-4.5,-1.0,-0.0
2022,3,2022_03_ATL_SEA,2022-09-25,ATL,SEA,SEA,ATL,home,-1.0,102,-4.8,3.8,Lean,0.0,-0.9,-4.2,4.8,-4,23,27,loss,-5.0,-1.0,-0.0
2022,3,2022_03_GB_TB,2022-09-25,GB,TB,TB,GB,home,-1.0,-115,-4.1,3.1,Lean,0.0,4.8,2.2,4.1,-2,12,14,loss,-3.0,-1.0,-0.0
2022,3,2022_03_SF_DEN,2022-09-25,SF,DEN,SF,DEN,away,-1.0,-102,-1.2,0.2,No Play,0.0,0.6,3.3,-1.2,1,11,10,loss,-2.0,-1.0,-0.0
2022,3,2022_03_DAL_NYG,2022-09-26,DAL,NYG,DAL,NYG,away,1.0,103,-5.1,6.1,Value,0.5,-4.0,2.6,-5.1,-7,16,23,win,8.0,1.03,0.515
2022,4,2022_04_MIA_CIN,2022-09-29,MIA,CIN,MIA,CIN,away,4.0,-107,2.6,1.4,No Play,0.0,1.6,0.5,2.6,12,27,15,loss,-8.0,-1.0,-0.0
2022,4,2022_04_MIN_NO,2022-10-02,MIN,NO,NO,MIN,home,4.0,-107,-0.8,4.8,Lean,0.0,0.4,-0.4,0.8,-3,25,28,win,1.0,0.9346,0.0
2022,4,2022_04_CLE_ATL,2022-10-02,CLE,ATL,CLE,ATL,away,-1.0,-101,-2.4,1.4,No Play,0.0,-3.4,0.5,-2.4,3,23,20,loss,-4.0,-1.0,-0.0
2022,4,2022_04_BUF_BAL,2022-10-02,BUF,BAL,BUF,BAL,away,-3.0,-117,-5.3,2.3,Watch,0.0,-0.2,6.6,-5.3,-3,20,23,push,0.0,0.0,0.0
2022,4,2022_04_WAS_DAL,2022-10-02,WAS,DAL,DAL,WAS,home,-3.0,-101,-7.0,4.0,Lean,0.0,2.9,-2.6,7.0,15,25,10,win,12.0,0.9901,0.0
2022,4,2022_04_SEA_DET,2022-10-02,SEA,DET,SEA,DET,away,3.0,103,-0.2,3.2,Lean,0.0,-2.9,-1.2,-0.2,-3,45,48,win,6.0,1.03,0.0
2022,4,2022_04_LAC_HOU,2022-10-02,LAC,HOU,HOU,LAC,home,5.5,-104,3.2,2.3,Watch,0.0,-4.7,-0.0,-3.2,-10,24,34,loss,-4.5,-1.0,-0.0
2022,4,2022_04_TEN_IND,2022-10-02,TEN,IND,TEN,IND,away,4.5,-105,0.9,3.6,Lean,0.0,-1.0,-0.4,0.9,-7,17,24,win,11.5,0.9524,0.0
2022,4,2022_04_CHI_NYG,2022-10-02,CHI,NYG,CHI,NYG,away,3.0,-120,-0.3,3.3,Lean,0.0,-4.2,-2.4,-0.3,8,20,12,loss,-5.0,-1.0,-0.0
2022,4,2022_04_JAX_PHI,2022-10-02,JAX,PHI,JAX,PHI,away,6.5,-109,5.2,1.3,No Play,0.0,3.4,-0.3,5.2,8,29,21,loss,-1.5,-1.0,-0.0
2022,4,2022_04_NYJ_PIT,2022-10-02,NYJ,PIT,PIT,NYJ,home,-3.0,-108,-5.0,2.0,Watch,0.0,-1.8,-5.3,5.0,-4,20,24,loss,-7.0,-1.0,-0.0
2022,4,2022_04_ARI_CAR,2022-10-02,ARI,CAR,ARI,CAR,away,1.0,-104,0.8,0.2,No Play,0.0,-0.9,-0.2,0.8,-10,16,26,win,11.0,0.9615,0.0
2022,4,2022_04_NE_GB,2022-10-02,NE,GB,NE,GB,away,10.0,-120,1.6,8.4,Value,0.0,2.0,1.9,1.6,3,27,24,win,7.0,0.8333,0.0
2022,4,2022_04_DEN_LV,2022-10-02,DEN,LV,DEN,LV,away,2.5,-101,-0.3,2.8,Watch,0.0,-1.4,0.4,-0.3,9,32,23,loss,-6.5,-1.0,-0.0
2022,4,2022_04_KC_TB,2022-10-02,KC,TB,TB,KC,home,-1.0,-118,-1.9,0.9,No Play,0.0,4.2,3.8,1.9,-10,31,41,loss,-11.0,-1.0,-0.0
2022,4,2022_04_LA_SF,2022-10-03,LA,SF,SF,LA,home,-1.0,-116,-2.8,1.8,No Play,0.0,3.1,1.8,2.8,15,24,9,win,14.0,0.8621,0.0
2022,5,2022_05_IND_DEN,2022-10-06,IND,DEN,IND,DEN,away,3.5,-114,2.5,1.0,No Play,0.0,-0.1,-1.1,2.5,-3,9,12,win,6.5,0.8772,0.0
2022,5,2022_05_NYG_GB,2022-10-09,NYG,GB,NYG,GB,away,8.5,104,5.4,3.1,Lean,0.0,2.0,-3.4,5.4,-5,22,27,win,13.5,1.04,0.0
2022,5,2022_05_PIT_BUF,2022-10-09,PIT,BUF,PIT,BUF,away,14.0,-108,9.4,4.6,Lean,0.0,6.0,-1.9,9.4,35,38,3,loss,-21.0,-1.0,-0.0
2022,5,2022_05_LAC_CLE,2022-10-09,LAC,CLE,CLE,LAC,home,1.0,-104,-1.6,2.6,Watch,0.0,0.7,0.6,1.6,-2,28,30,loss,-1.0,-1.0,-0.0
2022,5,2022_05_HOU_JAX,2022-10-09,HOU,JAX,HOU,JAX,away,7.0,-113,5.4,1.6,No Play,0.0,-0.9,-4.8,5.4,-7,6,13,win,14.0,0.885,0.0
2022,5,2022_05_CHI_MIN,2022-10-09,CHI,MIN,CHI,MIN,away,10.0,-116,3.3,6.7,Value,0.5,-0.8,-2.6,3.3,7,29,22,win,3.0,0.8621,0.431
2022,5,2022_05_DET_NE,2022-10-09,DET,NE,NE,DET,home,-3.0,102,-6.2,3.2,Lean,0.0,1.6,-3.1,6.2,29,29,0,win,26.0,1.02,0.0
2022,5,2022_05_SEA_NO,2022-10-09,SEA,NO,SEA,NO,away,5.5,-106,3.0,2.5,Watch,0.0,0.9,-0.6,3.0,7,39,32,loss,-1.5,-1.0,-0.0
2022,5,2022_05_MIA_NYJ,2022-10-09,MIA,NYJ,MIA,NYJ,away,-3.0,-110,-3.1,0.1,No Play,0.0,-4.5,0.1,-3.1,23,40,17,loss,-26.0,-1.0,-0.0
2022,5,2022_05_ATL_TB,2022-10-09,ATL,TB,ATL,TB,away,10.5,-113,8.3,2.2,Watch,0.0,3.5,-3.3,8.3,6,21,15,win,4.5,0.885,0.0
2022,5,2022_05_TEN_WAS,2022-10-09,TEN,WAS,WAS,TEN,home,1.0,-108,0.9,0.1,No Play,0.0,-2.5,-0.1,-0.9,-4,17,21,loss,-3.0,-1.0,-0.0
2022,5,2022_05_SF_CAR,2022-10-09,SF,CAR,CAR,SF,home,6.0,-109,4.1,1.9,No Play,0.0,-1.8,3.8,-4.1,-22,15,37,loss,-16.0,-1.0,-0.0
2022,5,2022_05_PHI_ARI,2022-10-09,PHI,ARI,ARI,PHI,home,5.5,-111,1.4,4.1,Lean,0.0,0.8,3.7,-1.4,-3,17,20,win,2.5,0.9009,0.0
2022,5,2022_05_DAL_LA,2022-10-09,DAL,LA,DAL,LA,away,5.5,-112,-0.7,6.2,Value,0.5,0.6,2.8,-0.7,-12,10,22,win,17.5,0.8929,0.4465
2022,5,2022_05_CIN_BAL,2022-10-09,CIN,BAL,CIN,BAL,away,3.0,103,-0.5,3.5,Lean,0.0,-0.2,1.8,-0.5,2,19,17,win,1.0,1.03,0.0
2022,5,2022_05_LV_KC,2022-10-10,LV,KC,LV,KC,away,7.5,-125,6.0,1.5,No Play,0.0,3.7,-0.8,6.0,1,30,29,win,6.5,0.8,0.0
2022,6,2022_06_WAS_CHI,2022-10-13,WAS,CHI,CHI,WAS,home,1.0,102,-1.4,2.4,Watch,0.0,-2.5,-2.4,1.4,-5,7,12,loss,-4.0,-1.0,-0.0
2022,6,2022_06_SF_ATL,2022-10-16,SF,ATL,SF,ATL,away,-3.5,-100,-6.1,2.6,Watch,0.0,-3.0,4.6,-6.1,14,28,14,loss,-17.5,-1.0,-0.0
2022,6,2022_06_NE_CLE,2022-10-16,NE,CLE,NE,CLE,away,2.5,101,-0.7,3.2,Lean,0.0,0.4,2.6,-0.7,-23,15,38,win,25.5,1.01,0.0
2022,6,2022_06_NYJ_GB,2022-10-16,NYJ,GB,NYJ,GB,away,7.5,-101,6.1,1.4,No Play,0.0,1.3,-3.3,6.1,-17,10,27,win,24.5,0.9901,0.0
2022,6,2022_06_JAX_IND,2022-10-16,JAX,IND,IND,JAX,home,-1.0,-114,-1.4,0.4,No Play,0.0,-1.0,-0.9,1.4,7,34,27,win,6.0,0.8772,0.0
2022,6,2022_06_MIN_MIA,2022-10-16,MIN,MIA,MIA,MIN,home,3.0,109,-1.4,4.4,Lean,0.0,-0.7,-0.6,1.4,-8,16,24,loss,-5.0,-1.0,-0.0
2022,6,2022_06_CIN_NO,2022-10-16,CIN,NO,NO,CIN,home,3.0,100,-0.7,3.7,Lean,0.0,0.8,1.6,0.7,-4,26,30,loss,-1.0,-1.0,-0.0
2022,6,2022_06_BAL_NYG,2022-10-16,BAL,NYG,NYG,BAL,home,5.5,-103,1.0,4.5,Lean,0.0,-2.6,-0.1,-1.0,4,24,20,win,9.5,0.9709,0.0
2022,6,2022_06_TB_PIT,2022-10-16,TB,PIT,PIT,TB,home,10.0,-113,4.9,5.1,Value,0.25,-3.2,3.2,-4.9,2,20,18,win,12.0,0.885,0.2213
2022,6,2022_06_CAR_LA,2022-10-16,CAR,LA,CAR,LA,away,10.0,-112,4.5,5.5,Value,0.25,0.2,-2.8,4.5,14,24,10,loss,-4.0,-1.0,-0.25
2022,6,2022_06_ARI_SEA,2022-10-16,ARI,SEA,SEA,ARI,home,2.5,-104,-0.4,2.9,Watch,0.0,-0.5,0.6,0.4,10,19,9,win,12.5,0.9615,0.0
2022,6,2022_06_BUF_KC,2022-10-16,BUF,KC,KC,BUF,home,2.5,105,2.0,0.5,No Play,0.0,3.4,6.9,-2.0,-4,20,24,loss,-1.5,-1.0,-0.0
2022,6,2022_06_DAL_PHI,2022-10-16,DAL,PHI,DAL,PHI,away,6.5,109,2.1,4.4,Lean,0.0,3.5,2.9,2.1,9,26,17,loss,-2.5,-1.0,-0.0
2022,6,2022_06_DEN_LAC,2022-10-17,DEN,LAC,DEN,LAC,away,3.5,-103,2.4,1.1,No Play,0.0,0.8,-0.1,2.4,3,19,16,win,0.5,0.9709,0.0
2022,7,2022_07_NO_ARI,2022-10-20,NO,ARI,NO,ARI,away,2.5,-101,1.6,0.9,No Play,0.0,0.5,0.4,1.6,8,42,34,loss,-5.5,-1.0,-0.0
2022,7,2022_07_CLE_BAL,2022-10-23,CLE,BAL,CLE,BAL,away,6.5,100,2.1,4.4,Lean,0.0,0.1,-0.5,2.1,3,23,20,win,3.5,1.0,0.0
2022,7,2022_07_TB_CAR,2022-10-23,TB,CAR,CAR,TB,home,13.0,-107,4.9,8.1,Value,0.0,-3.3,3.1,-4.9,18,21,3,win,31.0,0.9346,0.0
2022,7,2022_07_ATL_CIN,2022-10-23,ATL,CIN,ATL,CIN,away,6.5,-100,5.6,0.9,No Play,0.0,1.9,-2.2,5.6,18,35,17,loss,-11.5,-1.0,-0.0
2022,7,2022_07_DET_DAL,2022-10-23,DET,DAL,DAL,DET,home,-7.0,102,-8.0,1.0,No Play,0.0,2.6,-3.9,8.0,18,24,6,win,11.0,1.02,0.0
2022,7,2022_07_NYG_JAX,2022-10-23,NYG,JAX,JAX,NYG,home,-3.0,-112,-3.3,0.3,No Play,0.0,-0.8,-2.6,3.3,-6,17,23,loss,-9.0,-1.0,-0.0
2022,7,2022_07_IND_TEN,2022-10-23,IND,TEN,IND,TEN,away,2.5,-102,2.4,0.1,No Play,0.0,0.0,-0.9,2.4,9,19,10,loss,-6.5,-1.0,-0.0
2022,7,2022_07_GB_WAS,2022-10-23,GB,WAS,WAS,GB,home,4.0,-108,1.1,2.9,Watch,0.0,-2.1,0.5,-1.1,2,23,21,win,6.0,0.9259,0.0
2022,7,2022_07_NYJ_DEN,2022-10-23,NYJ,DEN,DEN,NYJ,home,2.0,-104,-3.8,5.8,Value,0.25,-0.0,-2.3,3.8,-7,9,16,loss,-5.0,-1.0,-0.25
2022,7,2022_07_HOU_LV,2022-10-23,HOU,LV,HOU,LV,away,7.0,104,5.1,1.9,No Play,0.0,-0.7,-4.3,5.1,18,38,20,loss,-11.0,-1.0,-0.0
2022,7,2022_07_SEA_LAC,2022-10-23,SEA,LAC,SEA,LAC,away,5.5,-111,2.6,2.9,Watch,0.0,0.7,-0.4,2.6,-14,23,37,win,19.5,0.9009,0.0
2022,7,2022_07_KC_SF,2022-10-23,KC,SF,SF,KC,home,1.0,-112,-2.1,3.1,Lean,0.0,3.7,3.1,2.1,-21,23,44,loss,-20.0,-1.0,-0.0
2022,7,2022_07_PIT_MIA,2022-10-23,PIT,MIA,PIT,MIA,away,7.5,-119,4.1,3.4,Lean,0.0,-0.5,-3.1,4.1,6,16,10,win,1.5,0.8403,0.0
2022,7,2022_07_CHI_NE,2022-10-24,CHI,NE,CHI,NE,away,9.5,-110,7.1,2.4,Watch,0.0,3.3,-2.3,7.1,-19,14,33,win,28.5,0.9091,0.0
2022,8,2022_08_BAL_TB,2022-10-27,BAL,TB,TB,BAL,home,-2.0,-106,-4.0,2.0,Watch,0.0,2.3,-0.2,4.0,-5,22,27,loss,-7.0,-1.0,-0.0
2022,8,2022_08_DEN_JAX,2022-10-30,DEN,JAX,DEN,JAX,away,1.0,-112,-0.7,1.7,No Play,0.0,-0.8,-0.1,-0.7,-4,17,21,win,5.0,0.8929,0.0
2022,8,2022_08_CAR_ATL,2022-10-30,CAR,ATL,CAR,ATL,away,4.5,-110,1.3,3.2,Lean,0.0,-2.7,-2.5,1.3,3,37,34,win,1.5,0.9091,0.0
2022,8,2022_08_CHI_DAL,2022-10-30,CHI,DAL,CHI,DAL,away,10.5,-121,6.1,4.4,Lean,0.0,3.1,-1.5,6.1,20,49,29,loss,-9.5,-1.0,-0.0
2022,8,2022_08_MIA_DET,2022-10-30,MIA,DET,DET,MIA,home,3.5,102,2.6,0.9,No Play,0.0,-4.4,-0.3,-2.6,-4,27,31,loss,-0.5,-1.0,-0.0
2022,8,2022_08_ARI_MIN,2022-10-30,ARI,MIN,ARI,MIN,away,4.0,-105,0.2,3.8,Lean,0.0,-0.7,0.6,0.2,8,34,26,loss,-4.0,-1.0,-0.0
2022,8,2022_08_LV_NO,2022-10-30,LV,NO,NO,LV,home,1.0,101,-1.7,2.7,Watch,0.0,0.1,-0.1,1.7,24,24,0,win,25.0,1.01,0.0
2022,8,2022_08_NE_NYJ,2022-10-30,NE,NYJ,NYJ,NE,home,3.0,-107,3.0,0.0,No Play,0.0,-2.1,2.4,-3.0,-5,17,22,loss,-2.0,-1.0,-0.0
2022,8,2022_08_PIT_PHI,2022-10-30,PIT,PHI,PIT,PHI,away,11.0,102,7.8,3.2,Lean,0.0,3.3,-3.0,7.8,22,35,13,loss,-11.0,-1.0,-0.0
2022,8,2022_08_TEN_HOU,2022-10-30,TEN,HOU,TEN,HOU,away,-1.0,-107,-3.0,2.0,Watch,0.0,-4.5,-0.0,-3.0,-7,10,17,win,6.0,0.9346,0.0
2022,8,2022_08_WAS_IND,2022-10-30,WAS,IND,WAS,IND,away,3.0,-114,2.6,0.4,No Play,0.0,-0.8,-1.9,2.6,-1,16,17,win,4.0,0.8772,0.0
2022,8,2022_08_SF_LA,2022-10-30,SF,LA,LA,SF,home,1.0,-114,-0.0,1.0,No Play,0.0,0.9,2.4,0.0,-17,14,31,loss,-16.0,-1.0,-0.0
2022,8,2022_08_NYG_SEA,2022-10-30,NYG,SEA,SEA,NYG,home,-3.0,-110,-4.0,1.0,No Play,0.0,0.2,-2.3,4.0,14,27,13,win,11.0,0.9091,0.0
2022,8,2022_08_GB_BUF,2022-10-30,GB,BUF,GB,BUF,away,10.5,-110,7.5,3.0,Lean,0.0,6.4,0.4,7.5,10,27,17,win,0.5,0.9091,0.0
2022,8,2022_08_CIN_CLE,2022-10-31,CIN,CLE,CLE,CIN,home,3.0,102,1.0,2.0,Watch,0.0,-0.2,2.3,-1.0,19,32,13,win,22.0,1.02,0.0
2022,9,2022_09_PHI_HOU,2022-11-03,PHI,HOU,HOU,PHI,home,14.0,-113,7.1,6.9,Value,0.5,-4.8,3.8,-7.1,-12,17,29,win,2.0,0.885,0.4425
2022,9,2022_09_LAC_ATL,2022-11-06,LAC,ATL,ATL,LAC,home,2.5,103,1.1,1.4,No Play,0.0,-2.6,0.0,-1.1,-3,17,20,loss,-0.5,-1.0,-0.0
2022,9,2022_09_MIA_CHI,2022-11-06,MIA,CHI,CHI,MIA,home,4.0,-107,0.5,3.5,Lean,0.0,-2.0,0.0,-0.5,-3,32,35,win,1.0,0.9346,0.0
2022,9,2022_09_CAR_CIN,2022-11-06,CAR,CIN,CAR,CIN,away,7.0,-100,5.3,1.7,No Play,0.0,1.6,-2.2,5.3,21,42,21,loss,-14.0,-1.0,-0.0
2022,9,2022_09_GB_DET,2022-11-06,GB,DET,DET,GB,home,4.0,-103,3.2,0.8,No Play,0.0,-4.4,0.3,-3.2,6,15,9,win,10.0,0.9709,0.0
2022,9,2022_09_LV_JAX,2022-11-06,LV,JAX,JAX,LV,home,2.5,-108,-1.6,4.1,Lean,0.0,-1.0,-1.1,1.6,7,27,20,win,9.5,0.9259,0.0
2022,9,2022_09_IND_NE,2022-11-06,IND,NE,IND,NE,away,5.0,-115,4.6,0.4,No Play,0.0,2.2,-0.9,4.6,23,26,3,loss,-18.0,-1.0,-0.0
2022,9,2022_09_BUF_NYJ,2022-11-06,BUF,NYJ,NYJ,BUF,home,11.0,-114,6.4,4.6,Lean,0.0,-1.9,6.0,-6.4,3,20,17,win,14.0,0.8772,0.0
2022,9,2022_09_MIN_WAS,2022-11-06,MIN,WAS,WAS,MIN,home,3.0,108,-0.3,3.3,Lean,0.0,-1.7,-0.5,0.3,-3,17,20,push,0.0,0.0,0.0
2022,9,2022_09_SEA_ARI,2022-11-06,SEA,ARI,ARI,SEA,home,-1.5,-113,-1.5,0.0,No Play,0.0,0.4,0.4,1.5,-10,21,31,loss,-11.5,-1.0,-0.0
2022,9,2022_09_LA_TB,2022-11-06,LA,TB,TB,LA,home,-3.0,-106,-3.5,0.5,No Play,0.0,2.0,0.0,3.5,3,16,13,push,0.0,0.0,0.0
2022,9,2022_09_TEN_KC,2022-11-06,TEN,KC,TEN,KC,away,14.0,-107,4.6,9.4,Value,0.0,3.8,0.7,4.6,3,20,17,win,11.0,0.9346,0.0
2022,9,2022_09_BAL_NO,2022-11-07,BAL,NO,NO,BAL,home,1.0,106,-2.7,3.7,Lean,0.0,1.1,-0.1,2.7,-14,13,27,loss,-13.0,-1.0,-0.0
