season,source,source_label,source_url,published_at,target_week,safe_after,team,rating,ratings_sha256
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Air Force,5.1,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Akron,-20.9,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Alabama,21.7,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,App. St.,1.1,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Arizona,8.0,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Arizona St.,-7.2,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Arkansas,1.2,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Arkansas St.,-9.6,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Army,-8.8,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Auburn,8.7,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Ball St.,-18.1,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Baylor,-5.1,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,BGSU,-9.8,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Boise St.,2.1,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Boston Coll.,-4.1,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Buffalo,-13.5,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,BYU,-4.5,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,California,-1.4,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Charlotte,-19.2,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Cincinnati,-2.8,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Clemson,12.3,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,CMU,-17.0,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Coastal Caro.,1.7,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Colorado,-4.5,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Colorado St.,-12.8,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Duke,7.7,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,ECU,-13.5,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,EMU,-14.6,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,FAU,-8.3,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,FIU,-19.7,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Florida,5.3,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Florida St.,21.7,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Fresno St.,2.4,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Ga. Southern,-5.0,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Ga. Tech,-2.5,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Georgia,27.9,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Georgia St.,-6.5,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Hawaii,-15.4,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Houston,-4.9,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Illinois,-1.9,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Indiana,-8.6,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Iowa,8.9,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Iowa St.,7.4,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,JMU,10.3,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,JSU,-5.9,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Kansas,5.8,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Kansas St.,17.1,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Kent St.,-26.5,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 12,,2023-11-13T00:00:00-05:00,12,2023-11-13T00:00:00-05:00,Kentucky,8.1,bc0c0a72b147f7e97b960afdb3f06b5fadfda4a4e7290f79d73f5fbd32a27557
