season,source,source_label,source_url,published_at,target_week,safe_after,team,rating,ratings_sha256
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Air Force,-1.7,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Akron,-20.9,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Alabama,28.6,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,App. St.,-4.8,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Arizona,-0.7,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Arizona St.,-0.6,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Arkansas,12.1,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Arkansas St.,-14.2,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Army,-11.2,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Auburn,13.0,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Ball St.,-14.2,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Baylor,10.7,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,BGSU,-20.9,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Boise St.,5.9,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Boston Coll.,-6.2,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Buffalo,-11.0,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,BYU,5.0,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,California,1.8,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Charlotte,-21.9,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Cincinnati,5.5,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,Clemson,23.3,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
2023,Bill Connelly public workbook,Bill Connelly 2023 SP+ FBS week 1,,2023-08-28T00:00:00-04:00,1,2023-08-28T00:00:00-04:00,CMU,-14.5,de7ac68ce130079e845fc6744223197cf6ff49503c1d7dc1eefa477987377539
