team,rating
Air Force,1.1
Akron,-18.3
Alabama,25.6
App. St.,-2.5
Arizona,3.3
Arizona St.,-4.6
Arkansas,13.3
Arkansas St.,-24.0
Army,-5.4
Auburn,14.2
BGSU,-15.0
BYU,5.4
Ball St.,-19.2
Baylor,3.4
Boise St.,-0.4
Boston Coll.,-7.4
Buffalo,-13.0
CMU,-14.8
California,4.7
Charlotte,-17.5
Cincinnati,10.1
Clemson,17.5
Coastal Caro.,-1.5
Colorado,-2.2
Colorado St.,-20.3
Duke,11.8
ECU,-13.0
EMU,-14.2
FAU,-4.4
FIU,-18.0
Florida,11.2
Florida St.,24.5
Fresno St.,-0.2
Ga. Southern,-4.5
Ga. Tech,-1.0
Georgia,30.6
Georgia St.,-5.1
Hawaii,-16.8
Houston,-0.6
Illinois,5.2
Indiana,-3.2
Iowa,11.9
Iowa St.,4.9
JMU,0.8
JSU,-14.9
Kansas,6.7
Kansas St.,20.7
Kent St.,-26.2
Kentucky,12.4
LSU,18.5
La. Tech,-13.6
Liberty,-2.9
Louisiana,-6.7
Louisville,12.9
MTSU,-15.6
Marshall,-1.1
Maryland,11.6
Memphis,10.6
Miami,16.3
Miami-OH,-13.8
Michigan,27.7
Michigan St.,11.1
Minnesota,9.8
Miss. St.,14.8
Missouri,8.0
N. Carolina,13.7
N. Texas,-15.4
NC St.,3.1
NIU,-13.0
NMSU,-18.5
Navy,-14.3
Nebraska,-1.7
Nevada,-22.1
New Mexico,-17.6
Northwestern,-4.2
Notre Dame,23.1
ODU,-14.9
Ohio,-8.8
Ohio St.,28.6
Oklahoma,24.5
Oklahoma St.,9.5
Ole Miss,21.6
Oregon,21.4
Oregon St.,18.2
Penn St.,27.1
Pittsburgh,9.9
Purdue,1.8
Rice,-15.6
Rutgers,2.8
S. Alabama,-2.0
S. Carolina,10.2
SHSU,-14.9
SMU,5.6
San Diego St.,-7.2
San Jose St.,-10.4
So. Miss,-13.7
Stanford,-11.9
Syracuse,12.6
TCU,11.3
Temple,-16.3
Tennessee,21.8
Texas,23.2
Texas A&M,16.4
Texas St.,-13.1
Texas Tech,7.6
Toledo,2.0
Troy,-1.2
Tulane,7.3
Tulsa,-10.9
UAB,-8.8
UCF,12.1
UCLA,15.5
UConn,-21.0
ULM,-15.3
UMass,-23.8
UNLV,-11.8
USC,25.2
USF,-13.7
UTEP,-15.9
UTSA,0.9
Utah,17.6
Utah St.,-10.0
Va. Tech,-1.8
Vanderbilt,-3.6
Virginia,-8.9
W. Virginia,3.0
WKU,-2.2
WMU,-16.8
Wake Forest,9.4
Wash. St.,9.1
Washington,23.2
Wisconsin,12.4
Wyoming,-5.4
