team,rating
Air Force,8.6
Akron,-18.6
Alabama,20.1
App. St.,-4.5
Arizona,8.3
Arizona St.,-6.4
Arkansas,3.9
Arkansas St.,-14.4
Army,-10.9
Auburn,4.5
BGSU,-15.6
BYU,1.0
Ball St.,-19.6
Baylor,-1.0
Boise St.,0.7
Boston Coll.,-7.5
Buffalo,-14.7
CMU,-17.1
California,-1.6
Charlotte,-20.4
Cincinnati,1.7
Clemson,17.3
Coastal Caro.,-1.2
Colorado,-2.6
Colorado St.,-12.3
Duke,14.1
ECU,-13.4
EMU,-15.2
FAU,-6.9
FIU,-16.4
Florida,9.0
Florida St.,18.5
Fresno St.,3.5
Ga. Southern,-6.2
Ga. Tech,-0.6
Georgia,23.4
Georgia St.,-2.2
Hawaii,-13.1
Houston,2.0
Illinois,2.5
Indiana,-8.1
Iowa,7.4
Iowa St.,6.5
JMU,5.5
JSU,-8.5
Kansas,6.7
Kansas St.,14.3
Kent St.,-22.4
Kentucky,11.0
LSU,15.0
La. Tech,-13.4
Liberty,2.8
Louisiana,0.6
Louisville,10.7
MTSU,-13.6
Marshall,-2.4
Maryland,8.9
Memphis,1.8
Miami,15.1
Miami-OH,-3.4
Michigan,25.1
Michigan St.,3.1
Minnesota,3.1
Miss. St.,3.7
Missouri,12.0
N. Carolina,15.8
N. Texas,-9.2
NC St.,3.2
NIU,-10.0
NMSU,-8.5
Navy,-11.4
Nebraska,3.3
Nevada,-20.7
New Mexico,-16.7
Northwestern,-8.1
Notre Dame,20.1
ODU,-10.2
Ohio,-4.4
Ohio St.,24.0
Oklahoma,20.9
Oklahoma St.,5.1
Ole Miss,14.7
Oregon,22.0
Oregon St.,14.7
Penn St.,20.8
Pittsburgh,4.7
Purdue,-1.7
Rice,-12.1
Rutgers,3.3
S. Alabama,1.8
S. Carolina,6.7
SHSU,-19.3
SMU,1.8
San Diego St.,-9.3
San Jose St.,-5.8
So. Miss,-14.3
Stanford,-9.3
Syracuse,3.7
TCU,11.7
Temple,-15.7
Tennessee,17.6
Texas,22.7
Texas A&M,15.1
Texas St.,-4.7
Texas Tech,8.8
Toledo,0.6
Troy,4.1
Tulane,5.7
Tulsa,-7.5
UAB,-11.3
UCF,9.6
UCLA,13.7
UConn,-19.4
ULM,-15.4
UMass,-22.7
UNLV,-5.8
USC,16.1
USF,-13.2
UTEP,-14.7
UTSA,-1.6
Utah,12.3
Utah St.,-5.7
Va. Tech,0.6
Vanderbilt,-6.3
Virginia,-5.3
W. Virginia,4.0
WKU,-7.2
WMU,-18.7
Wake Forest,1.3
Wash. St.,8.7
Washington,23.3
Wisconsin,12.0
Wyoming,-3.0
