workbook_team,model_team,rating,resolution
Air Force,Air Force,6.1,2023_eligibility
Akron,Akron,-21.9,2023_eligibility
Alabama,Alabama,23.1,2023_eligibility
Appalachian State,App. St.,3.1,explicit_workbook_alias
Arizona,Arizona,10.3,2023_eligibility
Arizona State,Arizona St.,-11.8,2023_eligibility
Arkansas,Arkansas,3.6,2023_eligibility
Arkansas State,Arkansas St.,-6.8,2023_eligibility
Army,Army,-6.7,2023_eligibility
Auburn,Auburn,6.9,2023_eligibility
Bowling Green,BGSU,-8.5,2023_eligibility
BYU,BYU,-5.1,2023_eligibility
Ball State,Ball St.,-16.2,2023_eligibility
Baylor,Baylor,-10.2,2023_eligibility
Boise State,Boise St.,4.9,2023_eligibility
Boston College,Boston Coll.,-4.3,2023_eligibility
Buffalo,Buffalo,-15.2,2023_eligibility
Central Michigan,CMU,-18.9,2023_eligibility
California,California,-2.7,2023_eligibility
Charlotte,Charlotte,-21.2,2023_eligibility
Cincinnati,Cincinnati,-6.0,2023_eligibility
Clemson,Clemson,10.2,2023_eligibility
Coastal Carolina,Coastal Caro.,-0.9,2023_eligibility
Colorado,Colorado,-6.7,2023_eligibility
Colorado State,Colorado St.,-9.4,2023_eligibility
Duke,Duke,7.0,2023_eligibility
East Carolina,ECU,-14.3,2023_eligibility
Eastern Michigan,EMU,-11.7,2023_eligibility
Florida Atlantic,FAU,-10.4,2023_eligibility
Florida International,FIU,-21.4,2023_eligibility
Florida,Florida,5.3,2023_eligibility
Florida State,Florida St.,23.9,2023_eligibility
Fresno State,Fresno St.,1.9,2023_eligibility
Georgia Southern,Ga. Southern,-4.3,2023_eligibility
Georgia Tech,Ga. Tech,-1.7,2023_eligibility
Georgia,Georgia,30.0,2023_eligibility
Georgia State,Georgia St.,-9.8,2023_eligibility
Hawaii,Hawaii,-17.9,explicit_workbook_alias
Houston,Houston,-8.5,2023_eligibility
Illinois,Illinois,-4.6,2023_eligibility
Indiana,Indiana,-9.3,2023_eligibility
Iowa,Iowa,8.7,2023_eligibility
Iowa State,Iowa St.,7.1,2023_eligibility
James Madison,JMU,11.0,2023_eligibility
Jacksonville State,JSU,-0.8,2023_eligibility
Kansas,Kansas,6.4,2023_eligibility
Kansas State,Kansas St.,16.2,2023_eligibility
Kent State,Kent St.,-27.4,2023_eligibility
Kentucky,Kentucky,7.3,2023_eligibility
LSU,LSU,16.6,2023_eligibility
Louisiana Tech,La. Tech,-13.5,2023_eligibility
Liberty,Liberty,11.6,2023_eligibility
UL-Lafayette,Louisiana,-2.5,explicit_workbook_alias
Louisville,Louisville,12.0,2023_eligibility
Middle Tennessee,MTSU,-10.2,2023_eligibility
Marshall,Marshall,-10.8,2023_eligibility
Maryland,Maryland,6.8,2023_eligibility
Memphis,Memphis,0.7,2023_eligibility
Miami-FL,Miami,9.3,explicit_workbook_alias
Miami-OH,Miami-OH,4.3,explicit_workbook_alias
Michigan,Michigan,31.4,2023_eligibility
Michigan State,Michigan St.,-6.2,2023_eligibility
Minnesota,Minnesota,-1.5,2023_eligibility
Mississippi State,Miss. St.,-1.2,2023_eligibility
Missouri,Missouri,14.6,2023_eligibility
North Carolina,N. Carolina,12.1,2023_eligibility
North Texas,N. Texas,-8.1,2023_eligibility
NC State,NC St.,6.3,2023_eligibility
Northern Illinois,NIU,-7.9,2023_eligibility
New Mexico State,NMSU,0.5,2023_eligibility
Navy,Navy,-12.2,2023_eligibility
Nebraska,Nebraska,-1.1,2023_eligibility
Nevada,Nevada,-22.1,2023_eligibility
New Mexico,New Mexico,-17.6,2023_eligibility
Northwestern,Northwestern,-2.9,2023_eligibility
Notre Dame,Notre Dame,17.7,2023_eligibility
Old Dominion,ODU,-11.6,2023_eligibility
Ohio,Ohio,-3.3,2023_eligibility
Ohio State,Ohio St.,27.8,2023_eligibility
Oklahoma,Oklahoma,15.5,2023_eligibility
Oklahoma State,Oklahoma St.,6.3,2023_eligibility
Ole Miss,Ole Miss,14.8,2023_eligibility
Oregon,Oregon,25.2,2023_eligibility
Oregon State,Oregon St.,16.5,2023_eligibility
Penn State,Penn St.,23.7,2023_eligibility
Pittsburgh,Pittsburgh,-7.4,2023_eligibility
Purdue,Purdue,-9.5,2023_eligibility
Rice,Rice,-9.2,2023_eligibility
Rutgers,Rutgers,2.1,2023_eligibility
South Alabama,S. Alabama,2.9,2023_eligibility
South Carolina,S. Carolina,2.6,2023_eligibility
Sam Houston,SHSU,-15.9,2023_eligibility
SMU,SMU,9.4,2023_eligibility
San Diego State,San Diego St.,-14.5,2023_eligibility
San Jose State,San Jose St.,-2.8,explicit_workbook_alias
Southern Miss,So. Miss,-15.3,2023_eligibility
Stanford,Stanford,-12.7,2023_eligibility
Syracuse,Syracuse,-2.6,2023_eligibility
TCU,TCU,7.5,2023_eligibility
Temple,Temple,-21.0,2023_eligibility
Tennessee,Tennessee,10.9,2023_eligibility
Texas,Texas,21.0,2023_eligibility
Texas A&M,Texas A&M,16.3,2023_eligibility
Texas State,Texas St.,-5.4,2023_eligibility
Texas Tech,Texas Tech,5.8,2023_eligibility
Toledo,Toledo,7.0,2023_eligibility
Troy,Troy,8.0,2023_eligibility
Tulane,Tulane,5.0,2023_eligibility
Tulsa,Tulsa,-15.4,2023_eligibility
UAB,UAB,-15.8,2023_eligibility
UCF,UCF,3.4,2023_eligibility
UCLA,UCLA,9.6,2023_eligibility
Connecticut,UConn,-19.8,explicit_workbook_alias
UL-Monroe,ULM,-22.2,explicit_workbook_alias
Massachusetts,UMass,-18.1,2023_eligibility
UNLV,UNLV,5.4,2023_eligibility
USC,USC,7.9,2023_eligibility
USF,USF,-13.5,explicit_workbook_alias
UTEP,UTEP,-16.4,2023_eligibility
UTSA,UTSA,5.7,2023_eligibility
Utah,Utah,6.9,2023_eligibility
Utah State,Utah St.,-9.8,2023_eligibility
Virginia Tech,Va. Tech,1.2,2023_eligibility
Vanderbilt,Vanderbilt,-14.6,2023_eligibility
Virginia,Virginia,-9.5,2023_eligibility
West Virginia,W. Virginia,4.4,2023_eligibility
Western Kentucky,WKU,-2.8,2023_eligibility
Western Michigan,WMU,-15.0,2023_eligibility
Wake Forest,Wake Forest,-8.9,2023_eligibility
Washington State,Wash. St.,4.4,2023_eligibility
Washington,Washington,18.4,2023_eligibility
Wisconsin,Wisconsin,7.6,2023_eligibility
Wyoming,Wyoming,-6.4,2023_eligibility
