team,rating
Air Force,-1.0
Akron,-18.6
Alabama,32.0
App. St.,-1.5
Arizona,4.0
Arizona St.,-3.0
Arkansas,16.3
Arkansas St.,-23.8
Army,-14.1
Auburn,17.5
BGSU,-19.4
BYU,2.6
Ball St.,-17.1
Baylor,4.9
Boise St.,-2.0
Boston Coll.,-9.9
Buffalo,-11.7
CMU,-17.3
California,7.5
Charlotte,-17.3
Cincinnati,9.4
Clemson,16.0
Coastal Caro.,-2.9
Colorado,-5.7
Colorado St.,-19.9
Duke,9.9
ECU,-10.5
EMU,-13.1
FAU,-1.7
FIU,-19.4
Florida,8.9
Florida St.,22.5
Fresno St.,3.5
Ga. Southern,-7.1
Ga. Tech,-4.6
Georgia,31.4
Georgia St.,-7.4
Hawaii,-17.2
Houston,4.5
Illinois,6.3
Indiana,-7.3
Iowa,10.9
Iowa St.,8.1
JMU,3.1
JSU,-11.4
Kansas,5.8
Kansas St.,19.0
Kent St.,-30.0
Kentucky,14.9
LSU,15.9
La. Tech,-15.3
Liberty,-7.8
Louisiana,-4.2
Louisville,7.0
MTSU,-19.2
Marshall,-3.5
Maryland,12.6
Memphis,8.8
Miami,15.9
Miami-OH,-18.5
Michigan,28.0
Michigan St.,7.9
Minnesota,9.2
Miss. St.,16.3
Missouri,10.7
N. Carolina,16.2
N. Texas,-15.8
NC St.,7.2
NIU,-13.2
NMSU,-16.6
Navy,-16.9
Nebraska,5.1
Nevada,-22.0
New Mexico,-23.9
Northwestern,-12.4
Notre Dame,24.0
ODU,-20.3
Ohio,-9.5
Ohio St.,27.8
Oklahoma,26.6
Oklahoma St.,8.2
Ole Miss,21.0
Oregon,23.2
Oregon St.,12.7
Penn St.,23.7
Pittsburgh,13.2
Purdue,0.0
Rice,-17.7
Rutgers,-1.1
S. Alabama,-4.9
S. Carolina,6.0
SHSU,-15.6
SMU,8.8
San Diego St.,-4.2
San Jose St.,-15.0
So. Miss,-7.4
Stanford,-6.3
Syracuse,9.2
TCU,9.7
Temple,-14.7
Tennessee,25.9
Texas,21.7
Texas A&M,20.7
Texas St.,-13.7
Texas Tech,8.2
Toledo,-0.8
Troy,2.4
Tulane,11.7
Tulsa,-7.7
UAB,-7.3
UCF,16.0
UCLA,12.0
UConn,-17.9
ULM,-15.7
UMass,-22.1
UNLV,-9.7
USC,24.1
USF,-18.3
UTEP,-9.9
UTSA,2.2
Utah,20.4
Utah St.,-13.3
Va. Tech,-0.5
Vanderbilt,-2.8
Virginia,-11.8
W. Virginia,-0.7
WKU,-3.0
WMU,-13.8
Wake Forest,9.4
Wash. St.,7.7
Washington,22.5
Wisconsin,15.0
Wyoming,-7.3
