team,rating
Air Force,8.2
Akron,-21.0
Alabama,22.8
App. St.,-6.0
Arizona,8.3
Arizona St.,-5.0
Arkansas,4.4
Arkansas St.,-14.0
Army,-12.4
Auburn,4.1
BGSU,-14.2
BYU,3.1
Ball St.,-18.3
Baylor,-0.2
Boise St.,0.0
Boston Coll.,-4.6
Buffalo,-13.3
CMU,-18.7
California,-1.0
Charlotte,-18.0
Cincinnati,1.0
Clemson,14.9
Coastal Caro.,-2.3
Colorado,-2.5
Colorado St.,-11.6
Duke,11.6
ECU,-14.1
EMU,-15.2
FAU,-9.5
FIU,-17.6
Florida,9.2
Florida St.,18.5
Fresno St.,3.2
Ga. Southern,-5.5
Ga. Tech,-1.8
Georgia,24.0
Georgia St.,-0.9
Hawaii,-16.6
Houston,2.5
Illinois,2.0
Indiana,-8.7
Iowa,7.0
Iowa St.,6.9
JMU,5.6
JSU,-7.8
Kansas,7.4
Kansas St.,15.6
Kent St.,-25.1
Kentucky,11.7
LSU,18.9
La. Tech,-12.6
Liberty,3.3
Louisiana,-1.7
Louisville,10.7
MTSU,-13.0
Marshall,-4.4
Maryland,8.9
Memphis,1.1
Miami,13.4
Miami-OH,-3.8
Michigan,28.7
Michigan St.,-0.3
Minnesota,2.4
Miss. St.,4.1
Missouri,14.9
N. Carolina,13.4
N. Texas,-9.2
NC St.,3.2
NIU,-9.8
NMSU,-6.6
Navy,-11.3
Nebraska,2.1
Nevada,-18.9
New Mexico,-13.4
Northwestern,-7.6
Notre Dame,19.8
ODU,-9.3
Ohio,-4.7
Ohio St.,22.1
Oklahoma,19.5
Oklahoma St.,6.7
Ole Miss,13.8
Oregon,21.4
Oregon St.,15.4
Penn St.,18.5
Pittsburgh,3.6
Purdue,-2.3
Rice,-8.9
Rutgers,3.5
S. Alabama,3.3
S. Carolina,3.4
SHSU,-16.6
SMU,4.0
San Diego St.,-11.7
San Jose St.,-5.2
So. Miss,-15.8
Stanford,-9.7
Syracuse,3.6
TCU,10.2
Temple,-19.8
Tennessee,15.3
Texas,20.7
Texas A&M,15.2
Texas St.,-5.6
Texas Tech,9.0
Toledo,2.8
Troy,3.3
Tulane,4.9
Tulsa,-10.5
UAB,-12.9
UCF,8.7
UCLA,14.2
UConn,-18.1
ULM,-15.6
UMass,-21.8
UNLV,-4.4
USC,17.7
USF,-15.1
UTEP,-16.8
UTSA,-0.6
Utah,12.5
Utah St.,-9.3
Va. Tech,0.6
Vanderbilt,-6.2
Virginia,-4.1
W. Virginia,2.3
WKU,-5.8
WMU,-18.3
Wake Forest,1.6
Wash. St.,6.8
Washington,20.7
Wisconsin,10.5
Wyoming,-3.8
