workbook_team,model_team,rating,resolution
Air Force,Air Force,8.2,2023_eligibility
Akron,Akron,-21.0,2023_eligibility
Alabama,Alabama,22.8,2023_eligibility
Appalachian State,App. St.,-6.0,explicit_workbook_alias
Arizona,Arizona,8.3,2023_eligibility
Arizona State,Arizona St.,-5.0,2023_eligibility
Arkansas,Arkansas,4.4,2023_eligibility
Arkansas State,Arkansas St.,-14.0,2023_eligibility
Army,Army,-12.4,2023_eligibility
Auburn,Auburn,4.1,2023_eligibility
Bowling Green,BGSU,-14.2,2023_eligibility
BYU,BYU,3.1,2023_eligibility
Ball State,Ball St.,-18.3,2023_eligibility
Baylor,Baylor,-0.2,2023_eligibility
Boise State,Boise St.,0.0,2023_eligibility
Boston College,Boston Coll.,-4.6,2023_eligibility
Buffalo,Buffalo,-13.3,2023_eligibility
Central Michigan,CMU,-18.7,2023_eligibility
California,California,-1.0,2023_eligibility
Charlotte,Charlotte,-18.0,2023_eligibility
Cincinnati,Cincinnati,1.0,2023_eligibility
Clemson,Clemson,14.9,2023_eligibility
Coastal Carolina,Coastal Caro.,-2.3,2023_eligibility
Colorado,Colorado,-2.5,2023_eligibility
Colorado State,Colorado St.,-11.6,2023_eligibility
Duke,Duke,11.6,2023_eligibility
East Carolina,ECU,-14.1,2023_eligibility
Eastern Michigan,EMU,-15.2,2023_eligibility
Florida Atlantic,FAU,-9.5,2023_eligibility
Florida International,FIU,-17.6,2023_eligibility
Florida,Florida,9.2,2023_eligibility
Florida State,Florida St.,18.5,2023_eligibility
Fresno State,Fresno St.,3.2,2023_eligibility
Georgia Southern,Ga. Southern,-5.5,2023_eligibility
Georgia Tech,Ga. Tech,-1.8,2023_eligibility
Georgia,Georgia,24.0,2023_eligibility
Georgia State,Georgia St.,-0.9,2023_eligibility
Hawaii,Hawaii,-16.6,explicit_workbook_alias
Houston,Houston,2.5,2023_eligibility
Illinois,Illinois,2.0,2023_eligibility
Indiana,Indiana,-8.7,2023_eligibility
Iowa,Iowa,7.0,2023_eligibility
Iowa State,Iowa St.,6.9,2023_eligibility
James Madison,JMU,5.6,2023_eligibility
Jacksonville State,JSU,-7.8,2023_eligibility
Kansas,Kansas,7.4,2023_eligibility
Kansas State,Kansas St.,15.6,2023_eligibility
Kent State,Kent St.,-25.1,2023_eligibility
Kentucky,Kentucky,11.7,2023_eligibility
LSU,LSU,18.9,2023_eligibility
Louisiana Tech,La. Tech,-12.6,2023_eligibility
Liberty,Liberty,3.3,2023_eligibility
UL-Lafayette,Louisiana,-1.7,explicit_workbook_alias
Louisville,Louisville,10.7,2023_eligibility
Middle Tennessee,MTSU,-13.0,2023_eligibility
Marshall,Marshall,-4.4,2023_eligibility
Maryland,Maryland,8.9,2023_eligibility
Memphis,Memphis,1.1,2023_eligibility
Miami-FL,Miami,13.4,explicit_workbook_alias
Miami-OH,Miami-OH,-3.8,explicit_workbook_alias
Michigan,Michigan,28.7,2023_eligibility
Michigan State,Michigan St.,-0.3,2023_eligibility
Minnesota,Minnesota,2.4,2023_eligibility
Mississippi State,Miss. St.,4.1,2023_eligibility
Missouri,Missouri,14.9,2023_eligibility
North Carolina,N. Carolina,13.4,2023_eligibility
North Texas,N. Texas,-9.2,2023_eligibility
NC State,NC St.,3.2,2023_eligibility
Northern Illinois,NIU,-9.8,2023_eligibility
New Mexico State,NMSU,-6.6,2023_eligibility
Navy,Navy,-11.3,2023_eligibility
Nebraska,Nebraska,2.1,2023_eligibility
Nevada,Nevada,-18.9,2023_eligibility
New Mexico,New Mexico,-13.4,2023_eligibility
Northwestern,Northwestern,-7.6,2023_eligibility
Notre Dame,Notre Dame,19.8,2023_eligibility
Old Dominion,ODU,-9.3,2023_eligibility
Ohio,Ohio,-4.7,2023_eligibility
Ohio State,Ohio St.,22.1,2023_eligibility
Oklahoma,Oklahoma,19.5,2023_eligibility
Oklahoma State,Oklahoma St.,6.7,2023_eligibility
Ole Miss,Ole Miss,13.8,2023_eligibility
Oregon,Oregon,21.4,2023_eligibility
Oregon State,Oregon St.,15.4,2023_eligibility
Penn State,Penn St.,18.5,2023_eligibility
Pittsburgh,Pittsburgh,3.6,2023_eligibility
Purdue,Purdue,-2.3,2023_eligibility
Rice,Rice,-8.9,2023_eligibility
Rutgers,Rutgers,3.5,2023_eligibility
South Alabama,S. Alabama,3.3,2023_eligibility
South Carolina,S. Carolina,3.4,2023_eligibility
Sam Houston,SHSU,-16.6,2023_eligibility
SMU,SMU,4.0,2023_eligibility
San Diego State,San Diego St.,-11.7,2023_eligibility
San Jose State,San Jose St.,-5.2,explicit_workbook_alias
Southern Miss,So. Miss,-15.8,2023_eligibility
Stanford,Stanford,-9.7,2023_eligibility
Syracuse,Syracuse,3.6,2023_eligibility
TCU,TCU,10.2,2023_eligibility
Temple,Temple,-19.8,2023_eligibility
Tennessee,Tennessee,15.3,2023_eligibility
Texas,Texas,20.7,2023_eligibility
Texas A&M,Texas A&M,15.2,2023_eligibility
Texas State,Texas St.,-5.6,2023_eligibility
Texas Tech,Texas Tech,9.0,2023_eligibility
Toledo,Toledo,2.8,2023_eligibility
Troy,Troy,3.3,2023_eligibility
Tulane,Tulane,4.9,2023_eligibility
Tulsa,Tulsa,-10.5,2023_eligibility
UAB,UAB,-12.9,2023_eligibility
UCF,UCF,8.7,2023_eligibility
UCLA,UCLA,14.2,2023_eligibility
Connecticut,UConn,-18.1,explicit_workbook_alias
UL-Monroe,ULM,-15.6,explicit_workbook_alias
Massachusetts,UMass,-21.8,2023_eligibility
UNLV,UNLV,-4.4,2023_eligibility
USC,USC,17.7,2023_eligibility
USF,USF,-15.1,explicit_workbook_alias
UTEP,UTEP,-16.8,2023_eligibility
UTSA,UTSA,-0.6,2023_eligibility
Utah,Utah,12.5,2023_eligibility
Utah State,Utah St.,-9.3,2023_eligibility
Virginia Tech,Va. Tech,0.6,2023_eligibility
Vanderbilt,Vanderbilt,-6.2,2023_eligibility
Virginia,Virginia,-4.1,2023_eligibility
West Virginia,W. Virginia,2.3,2023_eligibility
Western Kentucky,WKU,-5.8,2023_eligibility
Western Michigan,WMU,-18.3,2023_eligibility
Wake Forest,Wake Forest,1.6,2023_eligibility
Washington State,Wash. St.,6.8,2023_eligibility
Washington,Washington,20.7,2023_eligibility
Wisconsin,Wisconsin,10.5,2023_eligibility
Wyoming,Wyoming,-3.8,2023_eligibility
