workbook_team,model_team,rating,resolution
Air Force,Air Force,6.3,2023_eligibility
Akron,Akron,-17.7,2023_eligibility
Alabama,Alabama,22.3,2023_eligibility
Appalachian State,App. St.,-2.5,explicit_workbook_alias
Arizona,Arizona,4.5,2023_eligibility
Arizona State,Arizona St.,-8.1,2023_eligibility
Arkansas,Arkansas,8.8,2023_eligibility
Arkansas State,Arkansas St.,-15.7,2023_eligibility
Army,Army,-7.4,2023_eligibility
Auburn,Auburn,9.1,2023_eligibility
Bowling Green,BGSU,-18.5,2023_eligibility
BYU,BYU,4.3,2023_eligibility
Ball State,Ball St.,-19.2,2023_eligibility
Baylor,Baylor,0.7,2023_eligibility
Boise State,Boise St.,1.8,2023_eligibility
Boston College,Boston Coll.,-10.2,2023_eligibility
Buffalo,Buffalo,-16.0,2023_eligibility
Central Michigan,CMU,-18.1,2023_eligibility
California,California,1.4,2023_eligibility
Charlotte,Charlotte,-18.7,2023_eligibility
Cincinnati,Cincinnati,3.9,2023_eligibility
Clemson,Clemson,17.1,2023_eligibility
Coastal Carolina,Coastal Caro.,1.5,2023_eligibility
Colorado,Colorado,-4.4,2023_eligibility
Colorado State,Colorado St.,-15.8,2023_eligibility
Duke,Duke,14.6,2023_eligibility
East Carolina,ECU,-11.7,2023_eligibility
Eastern Michigan,EMU,-15.5,2023_eligibility
Florida Atlantic,FAU,-10.8,2023_eligibility
Florida International,FIU,-18.3,2023_eligibility
Florida,Florida,11.9,2023_eligibility
Florida State,Florida St.,17.4,2023_eligibility
Fresno State,Fresno St.,5.2,2023_eligibility
Georgia Southern,Ga. Southern,-3.3,2023_eligibility
Georgia Tech,Ga. Tech,-2.3,2023_eligibility
Georgia,Georgia,26.2,2023_eligibility
Georgia State,Georgia St.,-1.2,2023_eligibility
Hawaii,Hawaii,-16.4,explicit_workbook_alias
Houston,Houston,0.1,2023_eligibility
Illinois,Illinois,3.8,2023_eligibility
Indiana,Indiana,-6.9,2023_eligibility
Iowa,Iowa,7.1,2023_eligibility
Iowa State,Iowa St.,4.3,2023_eligibility
James Madison,JMU,1.7,2023_eligibility
Jacksonville State,JSU,-9.5,2023_eligibility
Kansas,Kansas,7.1,2023_eligibility
Kansas State,Kansas St.,16.0,2023_eligibility
Kent State,Kent St.,-23.2,2023_eligibility
Kentucky,Kentucky,14.7,2023_eligibility
LSU,LSU,15.6,2023_eligibility
Louisiana Tech,La. Tech,-14.3,2023_eligibility
Liberty,Liberty,3.8,2023_eligibility
UL-Lafayette,Louisiana,0.6,explicit_workbook_alias
Louisville,Louisville,12.8,2023_eligibility
Middle Tennessee,MTSU,-15.4,2023_eligibility
Marshall,Marshall,-1.1,2023_eligibility
Maryland,Maryland,11.9,2023_eligibility
Memphis,Memphis,6.5,2023_eligibility
Miami-FL,Miami,18.6,explicit_workbook_alias
Miami-OH,Miami-OH,-5.4,explicit_workbook_alias
Michigan,Michigan,26.7,2023_eligibility
Michigan State,Michigan St.,1.6,2023_eligibility
Minnesota,Minnesota,3.1,2023_eligibility
Mississippi State,Miss. St.,4.6,2023_eligibility
Missouri,Missouri,11.3,2023_eligibility
North Carolina,N. Carolina,14.5,2023_eligibility
North Texas,N. Texas,-13.4,2023_eligibility
NC State,NC St.,3.1,2023_eligibility
Northern Illinois,NIU,-17.8,2023_eligibility
New Mexico State,NMSU,-12.8,2023_eligibility
Navy,Navy,-13.8,2023_eligibility
Nebraska,Nebraska,1.9,2023_eligibility
Nevada,Nevada,-20.8,2023_eligibility
New Mexico,New Mexico,-16.1,2023_eligibility
Northwestern,Northwestern,-9.1,2023_eligibility
Notre Dame,Notre Dame,19.7,2023_eligibility
Old Dominion,ODU,-12.1,2023_eligibility
Ohio,Ohio,-5.8,2023_eligibility
Ohio State,Ohio St.,25.4,2023_eligibility
Oklahoma,Oklahoma,22.6,2023_eligibility
Oklahoma State,Oklahoma St.,1.9,2023_eligibility
Ole Miss,Ole Miss,15.3,2023_eligibility
Oregon,Oregon,24.3,2023_eligibility
Oregon State,Oregon St.,15.8,2023_eligibility
Penn State,Penn St.,21.6,2023_eligibility
Pittsburgh,Pittsburgh,3.7,2023_eligibility
Purdue,Purdue,-3.3,2023_eligibility
Rice,Rice,-13.3,2023_eligibility
Rutgers,Rutgers,0.2,2023_eligibility
South Alabama,S. Alabama,0.5,2023_eligibility
South Carolina,S. Carolina,6.3,2023_eligibility
Sam Houston,SHSU,-19.3,2023_eligibility
SMU,SMU,2.3,2023_eligibility
San Diego State,San Diego St.,-7.7,2023_eligibility
San Jose State,San Jose St.,-9.0,explicit_workbook_alias
Southern Miss,So. Miss,-13.9,2023_eligibility
Stanford,Stanford,-9.3,2023_eligibility
Syracuse,Syracuse,12.6,2023_eligibility
TCU,TCU,14.0,2023_eligibility
Temple,Temple,-14.0,2023_eligibility
Tennessee,Tennessee,17.9,2023_eligibility
Texas,Texas,24.0,2023_eligibility
Texas A&M,Texas A&M,19.6,2023_eligibility
Texas State,Texas St.,-8.3,2023_eligibility
Texas Tech,Texas Tech,8.7,2023_eligibility
Toledo,Toledo,2.1,2023_eligibility
Troy,Troy,-1.8,2023_eligibility
Tulane,Tulane,7.6,2023_eligibility
Tulsa,Tulsa,-11.4,2023_eligibility
UAB,UAB,-13.0,2023_eligibility
UCF,UCF,12.1,2023_eligibility
UCLA,UCLA,16.9,2023_eligibility
Connecticut,UConn,-22.4,explicit_workbook_alias
UL-Monroe,ULM,-18.0,explicit_workbook_alias
Massachusetts,UMass,-18.3,2023_eligibility
UNLV,UNLV,-8.2,2023_eligibility
USC,USC,24.3,2023_eligibility
USF,USF,-13.0,explicit_workbook_alias
UTEP,UTEP,-17.3,2023_eligibility
UTSA,UTSA,-2.9,2023_eligibility
Utah,Utah,16.8,2023_eligibility
Utah State,Utah St.,-11.5,2023_eligibility
Virginia Tech,Va. Tech,-4.5,2023_eligibility
Vanderbilt,Vanderbilt,-5.3,2023_eligibility
Virginia,Virginia,-10.9,2023_eligibility
West Virginia,W. Virginia,2.5,2023_eligibility
Western Kentucky,WKU,-8.3,2023_eligibility
Western Michigan,WMU,-19.6,2023_eligibility
Wake Forest,Wake Forest,3.9,2023_eligibility
Washington State,Wash. St.,13.0,2023_eligibility
