team,rating
Air Force,-1.7
Akron,-20.9
Alabama,28.6
App. St.,-4.8
Arizona,-0.7
Arizona St.,-0.6
Arkansas,12.1
Arkansas St.,-14.2
Army,-11.2
Auburn,13.0
BGSU,-20.9
BYU,5.0
Ball St.,-14.2
Baylor,10.7
Boise St.,5.9
Boston Coll.,-6.2
Buffalo,-11.0
CMU,-14.5
California,1.8
Charlotte,-21.9
Cincinnati,5.5
Clemson,23.3
Coastal Caro.,-1.4
Colorado,-8.8
Colorado St.,-16.3
Duke,5.8
ECU,-9.2
EMU,-13.2
FAU,-6.5
FIU,-20.8
Florida,13.8
Florida St.,18.7
Fresno St.,1.7
Ga. Southern,-11.8
Ga. Tech,-5.8
Georgia,29.8
Georgia St.,-9.3
Hawaii,-17.6
Houston,4.1
Illinois,9.3
Indiana,-6.3
Iowa,14.6
Iowa St.,5.1
JMU,0.5
JSU,-18.1
Kansas,1.3
Kansas St.,14.8
Kent St.,-22.9
Kentucky,13.3
LSU,23.1
La. Tech,-14.7
Liberty,-6.3
Louisiana,-5.8
Louisville,9.8
MTSU,-13.2
Marshall,-4.0
Maryland,9.9
Memphis,5.5
Miami,10.6
Miami-OH,-11.7
Michigan,29.2
Michigan St.,5.9
Minnesota,13.2
Miss. St.,12.5
Missouri,10.8
N. Carolina,13.2
N. Texas,-8.8
NC St.,9.8
NIU,-16.7
NMSU,-20.9
Navy,-14.9
Nebraska,3.3
Nevada,-14.1
New Mexico,-20.5
Northwestern,-6.9
Notre Dame,20.7
ODU,-17.8
Ohio,-11.3
Ohio St.,29.6
Oklahoma,19.0
Oklahoma St.,10.4
Ole Miss,17.4
Oregon,19.1
Oregon St.,11.4
Penn St.,23.2
Pittsburgh,10.6
Purdue,3.6
Rice,-17.0
Rutgers,-5.8
S. Alabama,1.5
S. Carolina,12.0
SHSU,-17.1
SMU,6.3
San Diego St.,-4.7
San Jose St.,-12.7
So. Miss,-11.4
Stanford,-9.9
Syracuse,4.3
TCU,14.9
Temple,-12.6
Tennessee,22.5
Texas,22.5
Texas A&M,18.6
Texas St.,-18.4
Texas Tech,11.7
Toledo,-2.0
Troy,1.8
Tulane,7.4
Tulsa,-11.2
UAB,-12.1
UCF,9.6
UCLA,12.2
UConn,-19.3
ULM,-18.7
UMass,-23.7
UNLV,-14.2
USC,21.1
USF,-14.3
UTEP,-15.9
UTSA,4.6
Utah,18.7
Utah St.,-15.4
Va. Tech,-2.5
Vanderbilt,-5.5
Virginia,-6.0
W. Virginia,2.8
WKU,-6.7
WMU,-16.9
Wake Forest,6.6
Wash. St.,5.0
Washington,17.2
Wisconsin,16.2
Wyoming,-9.1
