workbook_team,model_team,rating,resolution
Air Force,Air Force,8.8,2023_eligibility
Akron,Akron,-21.2,2023_eligibility
Alabama,Alabama,21.9,2023_eligibility
Appalachian State,App. St.,-5.4,explicit_workbook_alias
Arizona,Arizona,8.4,2023_eligibility
Arizona State,Arizona St.,-4.1,2023_eligibility
Arkansas,Arkansas,3.9,2023_eligibility
Arkansas State,Arkansas St.,-12.7,2023_eligibility
Army,Army,-13.2,2023_eligibility
Auburn,Auburn,5.9,2023_eligibility
Bowling Green,BGSU,-13.7,2023_eligibility
BYU,BYU,0.5,2023_eligibility
Ball State,Ball St.,-18.4,2023_eligibility
Baylor,Baylor,-2.6,2023_eligibility
Boise State,Boise St.,2.3,2023_eligibility
Boston College,Boston Coll.,-4.4,2023_eligibility
Buffalo,Buffalo,-12.8,2023_eligibility
Central Michigan,CMU,-18.3,2023_eligibility
California,California,0.0,2023_eligibility
Charlotte,Charlotte,-20.9,2023_eligibility
Cincinnati,Cincinnati,-2.4,2023_eligibility
Clemson,Clemson,13.2,2023_eligibility
Coastal Carolina,Coastal Caro.,0.3,2023_eligibility
Colorado,Colorado,-3.4,2023_eligibility
Colorado State,Colorado St.,-12.1,2023_eligibility
Duke,Duke,8.9,2023_eligibility
East Carolina,ECU,-15.3,2023_eligibility
Eastern Michigan,EMU,-15.1,2023_eligibility
Florida Atlantic,FAU,-7.1,2023_eligibility
Florida International,FIU,-18.3,2023_eligibility
Florida,Florida,7.2,2023_eligibility
Florida State,Florida St.,20.9,2023_eligibility
Fresno State,Fresno St.,4.2,2023_eligibility
Georgia Southern,Ga. Southern,-4.1,2023_eligibility
Georgia Tech,Ga. Tech,-2.3,2023_eligibility
Georgia,Georgia,26.4,2023_eligibility
Georgia State,Georgia St.,-1.8,2023_eligibility
Hawaii,Hawaii,-18.9,explicit_workbook_alias
Houston,Houston,-1.4,2023_eligibility
Illinois,Illinois,0.5,2023_eligibility
Indiana,Indiana,-8.8,2023_eligibility
Iowa,Iowa,7.1,2023_eligibility
Iowa State,Iowa St.,7.0,2023_eligibility
James Madison,JMU,6.6,2023_eligibility
Jacksonville State,JSU,-6.1,2023_eligibility
Kansas,Kansas,6.6,2023_eligibility
Kansas State,Kansas St.,17.8,2023_eligibility
Kent State,Kent St.,-25.3,2023_eligibility
Kentucky,Kentucky,10.8,2023_eligibility
LSU,LSU,18.6,2023_eligibility
Louisiana Tech,La. Tech,-11.8,2023_eligibility
Liberty,Liberty,4.4,2023_eligibility
UL-Lafayette,Louisiana,-0.8,explicit_workbook_alias
Louisville,Louisville,12.0,2023_eligibility
Middle Tennessee,MTSU,-13.3,2023_eligibility
Marshall,Marshall,-6.3,2023_eligibility
Maryland,Maryland,8.7,2023_eligibility
Memphis,Memphis,2.1,2023_eligibility
Miami-FL,Miami,12.2,explicit_workbook_alias
Miami-OH,Miami-OH,-1.8,explicit_workbook_alias
Michigan,Michigan,29.2,2023_eligibility
Michigan State,Michigan St.,-2.4,2023_eligibility
Minnesota,Minnesota,3.9,2023_eligibility
Mississippi State,Miss. St.,2.0,2023_eligibility
Missouri,Missouri,14.1,2023_eligibility
North Carolina,N. Carolina,12.6,2023_eligibility
North Texas,N. Texas,-8.9,2023_eligibility
NC State,NC St.,3.4,2023_eligibility
Northern Illinois,NIU,-9.5,2023_eligibility
New Mexico State,NMSU,-6.5,2023_eligibility
Navy,Navy,-11.4,2023_eligibility
Nebraska,Nebraska,3.4,2023_eligibility
Nevada,Nevada,-18.9,2023_eligibility
New Mexico,New Mexico,-15.2,2023_eligibility
Northwestern,Northwestern,-6.8,2023_eligibility
Notre Dame,Notre Dame,20.3,2023_eligibility
Old Dominion,ODU,-10.1,2023_eligibility
Ohio,Ohio,-5.1,2023_eligibility
Ohio State,Ohio St.,24.8,2023_eligibility
Oklahoma,Oklahoma,19.4,2023_eligibility
Oklahoma State,Oklahoma St.,7.9,2023_eligibility
Ole Miss,Ole Miss,16.1,2023_eligibility
Oregon,Oregon,24.2,2023_eligibility
Oregon State,Oregon St.,15.5,2023_eligibility
Penn State,Penn St.,19.5,2023_eligibility
Pittsburgh,Pittsburgh,-0.3,2023_eligibility
Purdue,Purdue,-4.4,2023_eligibility
Rice,Rice,-9.2,2023_eligibility
Rutgers,Rutgers,3.8,2023_eligibility
South Alabama,S. Alabama,2.9,2023_eligibility
South Carolina,S. Carolina,1.5,2023_eligibility
Sam Houston,SHSU,-18.3,2023_eligibility
SMU,SMU,6.6,2023_eligibility
San Diego State,San Diego St.,-11.6,2023_eligibility
San Jose State,San Jose St.,-4.0,explicit_workbook_alias
Southern Miss,So. Miss,-16.5,2023_eligibility
Stanford,Stanford,-10.3,2023_eligibility
Syracuse,Syracuse,0.0,2023_eligibility
TCU,TCU,9.4,2023_eligibility
Temple,Temple,-19.6,2023_eligibility
Tennessee,Tennessee,16.2,2023_eligibility
Texas,Texas,22.2,2023_eligibility
Texas A&M,Texas A&M,15.6,2023_eligibility
Texas State,Texas St.,-7.1,2023_eligibility
Texas Tech,Texas Tech,7.3,2023_eligibility
Toledo,Toledo,3.1,2023_eligibility
Troy,Troy,4.7,2023_eligibility
Tulane,Tulane,6.0,2023_eligibility
Tulsa,Tulsa,-13.3,2023_eligibility
UAB,UAB,-12.9,2023_eligibility
UCF,UCF,6.4,2023_eligibility
UCLA,UCLA,15.2,2023_eligibility
Connecticut,UConn,-19.2,explicit_workbook_alias
UL-Monroe,ULM,-17.5,explicit_workbook_alias
Massachusetts,UMass,-20.5,2023_eligibility
UNLV,UNLV,-4.7,2023_eligibility
USC,USC,16.3,2023_eligibility
USF,USF,-14.0,explicit_workbook_alias
UTEP,UTEP,-16.4,2023_eligibility
UTSA,UTSA,0.9,2023_eligibility
Utah,Utah,10.7,2023_eligibility
Utah State,Utah St.,-9.6,2023_eligibility
Virginia Tech,Va. Tech,1.6,2023_eligibility
Vanderbilt,Vanderbilt,-9.7,2023_eligibility
Virginia,Virginia,-5.2,2023_eligibility
West Virginia,W. Virginia,2.2,2023_eligibility
Western Kentucky,WKU,-5.5,2023_eligibility
Western Michigan,WMU,-16.1,2023_eligibility
Wake Forest,Wake Forest,-1.4,2023_eligibility
Washington State,Wash. St.,4.8,2023_eligibility
Washington,Washington,21.2,2023_eligibility
Wisconsin,Wisconsin,9.7,2023_eligibility
Wyoming,Wyoming,-6.6,2023_eligibility
