workbook_team,model_team,rating,resolution
Air Force,Air Force,-1.0,2023_eligibility
Akron,Akron,-18.6,2023_eligibility
Alabama,Alabama,32.0,2023_eligibility
Appalachian State,App. St.,-1.5,explicit_workbook_alias
Arizona,Arizona,4.0,2023_eligibility
Arizona State,Arizona St.,-3.0,2023_eligibility
Arkansas,Arkansas,16.3,2023_eligibility
Arkansas State,Arkansas St.,-23.8,2023_eligibility
Army,Army,-14.1,2023_eligibility
Auburn,Auburn,17.5,2023_eligibility
Bowling Green,BGSU,-19.4,2023_eligibility
BYU,BYU,2.6,2023_eligibility
Ball State,Ball St.,-17.1,2023_eligibility
Baylor,Baylor,4.9,2023_eligibility
Boise State,Boise St.,-2.0,2023_eligibility
Boston College,Boston Coll.,-9.9,2023_eligibility
Buffalo,Buffalo,-11.7,2023_eligibility
Central Michigan,CMU,-17.3,2023_eligibility
California,California,7.5,2023_eligibility
Charlotte,Charlotte,-17.3,2023_eligibility
Cincinnati,Cincinnati,9.4,2023_eligibility
Clemson,Clemson,16.0,2023_eligibility
Coastal Carolina,Coastal Caro.,-2.9,2023_eligibility
Colorado,Colorado,-5.7,2023_eligibility
Colorado State,Colorado St.,-19.9,2023_eligibility
Duke,Duke,9.9,2023_eligibility
East Carolina,ECU,-10.5,2023_eligibility
Eastern Michigan,EMU,-13.1,2023_eligibility
Florida Atlantic,FAU,-1.7,2023_eligibility
Florida International,FIU,-19.4,2023_eligibility
Florida,Florida,8.9,2023_eligibility
Florida State,Florida St.,22.5,2023_eligibility
Fresno State,Fresno St.,3.5,2023_eligibility
Georgia Southern,Ga. Southern,-7.1,2023_eligibility
Georgia Tech,Ga. Tech,-4.6,2023_eligibility
Georgia,Georgia,31.4,2023_eligibility
Georgia State,Georgia St.,-7.4,2023_eligibility
Hawaii,Hawaii,-17.2,explicit_workbook_alias
Houston,Houston,4.5,2023_eligibility
Illinois,Illinois,6.3,2023_eligibility
Indiana,Indiana,-7.3,2023_eligibility
Iowa,Iowa,10.9,2023_eligibility
Iowa State,Iowa St.,8.1,2023_eligibility
James Madison,JMU,3.1,2023_eligibility
Jacksonville State,JSU,-11.4,2023_eligibility
Kansas,Kansas,5.8,2023_eligibility
Kansas State,Kansas St.,19.0,2023_eligibility
Kent State,Kent St.,-30.0,2023_eligibility
Kentucky,Kentucky,14.9,2023_eligibility
LSU,LSU,15.9,2023_eligibility
Louisiana Tech,La. Tech,-15.3,2023_eligibility
Liberty,Liberty,-7.8,2023_eligibility
