workbook_team,model_team,rating,resolution
Air Force,Air Force,4.3,2023_eligibility
Akron,Akron,-22.6,2023_eligibility
Alabama,Alabama,22.7,2023_eligibility
Appalachian State,App. St.,4.2,explicit_workbook_alias
Arizona,Arizona,11.2,2023_eligibility
Arizona State,Arizona St.,-12.7,2023_eligibility
Arkansas,Arkansas,1.8,2023_eligibility
Arkansas State,Arkansas St.,-8.5,2023_eligibility
Army,Army,-6.1,2023_eligibility
Auburn,Auburn,7.3,2023_eligibility
Bowling Green,BGSU,-6.9,2023_eligibility
BYU,BYU,-4.6,2023_eligibility
Ball State,Ball St.,-15.8,2023_eligibility
Baylor,Baylor,-9.8,2023_eligibility
Boise State,Boise St.,5.6,2023_eligibility
Boston College,Boston Coll.,-5.9,2023_eligibility
Buffalo,Buffalo,-16.1,2023_eligibility
Central Michigan,CMU,-20.1,2023_eligibility
California,California,0.2,2023_eligibility
Charlotte,Charlotte,-23.2,2023_eligibility
Cincinnati,Cincinnati,-8.1,2023_eligibility
Clemson,Clemson,10.0,2023_eligibility
Coastal Carolina,Coastal Caro.,-3.8,2023_eligibility
Colorado,Colorado,-6.3,2023_eligibility
Colorado State,Colorado St.,-10.0,2023_eligibility
Duke,Duke,8.6,2023_eligibility
East Carolina,ECU,-14.2,2023_eligibility
Eastern Michigan,EMU,-10.6,2023_eligibility
Florida Atlantic,FAU,-10.9,2023_eligibility
Florida International,FIU,-21.8,2023_eligibility
Florida,Florida,5.1,2023_eligibility
Florida State,Florida St.,23.6,2023_eligibility
Fresno State,Fresno St.,-0.5,2023_eligibility
Georgia Southern,Ga. Southern,-5.3,2023_eligibility
Georgia Tech,Ga. Tech,-2.1,2023_eligibility
Georgia,Georgia,29.9,2023_eligibility
Georgia State,Georgia St.,-10.3,2023_eligibility
Hawaii,Hawaii,-17.5,explicit_workbook_alias
Houston,Houston,-9.2,2023_eligibility
Illinois,Illinois,-3.5,2023_eligibility
Indiana,Indiana,-8.4,2023_eligibility
Iowa,Iowa,8.4,2023_eligibility
Iowa State,Iowa St.,7.8,2023_eligibility
James Madison,JMU,12.5,2023_eligibility
Jacksonville State,JSU,-1.6,2023_eligibility
Kansas,Kansas,8.4,2023_eligibility
Kansas State,Kansas St.,14.5,2023_eligibility
Kent State,Kent St.,-27.4,2023_eligibility
Kentucky,Kentucky,8.4,2023_eligibility
