team,rating
Air Force,6.1
Akron,-21.9
Alabama,23.1
App. St.,3.1
Arizona,10.3
Arizona St.,-11.8
Arkansas,3.6
Arkansas St.,-6.8
Army,-6.7
Auburn,6.9
BGSU,-8.5
BYU,-5.1
Ball St.,-16.2
Baylor,-10.2
Boise St.,4.9
Boston Coll.,-4.3
Buffalo,-15.2
CMU,-18.9
California,-2.7
Charlotte,-21.2
Cincinnati,-6.0
Clemson,10.2
Coastal Caro.,-0.9
Colorado,-6.7
Colorado St.,-9.4
Duke,7.0
ECU,-14.3
EMU,-11.7
FAU,-10.4
FIU,-21.4
Florida,5.3
Florida St.,23.9
Fresno St.,1.9
Ga. Southern,-4.3
Ga. Tech,-1.7
Georgia,30.0
Georgia St.,-9.8
Hawaii,-17.9
Houston,-8.5
Illinois,-4.6
Indiana,-9.3
Iowa,8.7
Iowa St.,7.1
JMU,11.0
JSU,-0.8
Kansas,6.4
Kansas St.,16.2
Kent St.,-27.4
Kentucky,7.3
LSU,16.6
La. Tech,-13.5
Liberty,11.6
Louisiana,-2.5
Louisville,12.0
MTSU,-10.2
Marshall,-10.8
Maryland,6.8
Memphis,0.7
Miami,9.3
Miami-OH,4.3
Michigan,31.4
Michigan St.,-6.2
Minnesota,-1.5
Miss. St.,-1.2
Missouri,14.6
N. Carolina,12.1
N. Texas,-8.1
NC St.,6.3
NIU,-7.9
NMSU,0.5
Navy,-12.2
Nebraska,-1.1
Nevada,-22.1
New Mexico,-17.6
Northwestern,-2.9
Notre Dame,17.7
ODU,-11.6
Ohio,-3.3
Ohio St.,27.8
Oklahoma,15.5
Oklahoma St.,6.3
Ole Miss,14.8
Oregon,25.2
Oregon St.,16.5
Penn St.,23.7
Pittsburgh,-7.4
Purdue,-9.5
Rice,-9.2
Rutgers,2.1
S. Alabama,2.9
S. Carolina,2.6
SHSU,-15.9
SMU,9.4
San Diego St.,-14.5
San Jose St.,-2.8
So. Miss,-15.3
Stanford,-12.7
Syracuse,-2.6
TCU,7.5
Temple,-21.0
Tennessee,10.9
Texas,21.0
Texas A&M,16.3
Texas St.,-5.4
Texas Tech,5.8
Toledo,7.0
Troy,8.0
Tulane,5.0
Tulsa,-15.4
UAB,-15.8
UCF,3.4
UCLA,9.6
UConn,-19.8
ULM,-22.2
UMass,-18.1
UNLV,5.4
USC,7.9
USF,-13.5
UTEP,-16.4
UTSA,5.7
Utah,6.9
Utah St.,-9.8
Va. Tech,1.2
Vanderbilt,-14.6
Virginia,-9.5
W. Virginia,4.4
WKU,-2.8
WMU,-15.0
Wake Forest,-8.9
Wash. St.,4.4
Washington,18.4
Wisconsin,7.6
Wyoming,-6.4
