team,rating
Air Force,3.4
Akron,-20.0
Alabama,25.0
App. St.,-2.6
Arizona,3.6
Arizona St.,-6.3
Arkansas,12.0
Arkansas St.,-18.4
Army,-6.9
Auburn,15.5
BGSU,-17.5
BYU,6.7
Ball St.,-15.8
Baylor,6.0
Boise St.,3.9
Boston Coll.,-6.4
Buffalo,-15.7
CMU,-17.4
California,5.0
Charlotte,-19.3
Cincinnati,5.5
Clemson,21.1
Coastal Caro.,2.4
Colorado,-2.9
Colorado St.,-17.7
Duke,12.3
ECU,-13.8
EMU,-13.9
FAU,-8.7
FIU,-13.3
Florida,13.2
Florida St.,21.0
Fresno St.,2.8
Ga. Southern,-8.7
Ga. Tech,-4.5
Georgia,28.9
Georgia St.,-4.4
Hawaii,-18.2
Houston,-0.6
Illinois,5.2
Indiana,-4.8
Iowa,13.8
Iowa St.,4.2
JMU,0.6
JSU,-14.1
Kansas,4.3
Kansas St.,16.9
Kent St.,-22.0
Kentucky,15.3
LSU,20.5
La. Tech,-11.0
Liberty,-0.3
Louisiana,-2.3
Louisville,11.2
MTSU,-13.9
Marshall,-0.8
Maryland,12.6
Memphis,8.7
Miami,16.1
Miami-OH,-9.7
Michigan,28.2
Michigan St.,4.7
Minnesota,8.4
Miss. St.,9.6
Missouri,10.4
N. Carolina,15.1
N. Texas,-11.5
NC St.,7.3
NIU,-17.0
NMSU,-11.2
Navy,-12.2
Nebraska,1.5
Nevada,-19.2
New Mexico,-19.3
Northwestern,-7.6
Notre Dame,26.3
ODU,-14.8
Ohio,-7.2
Ohio St.,30.3
Oklahoma,24.9
Oklahoma St.,5.5
Ole Miss,20.9
Oregon,23.1
Oregon St.,16.9
Penn St.,23.9
Pittsburgh,7.8
Purdue,0.9
Rice,-13.0
Rutgers,2.1
S. Alabama,2.4
S. Carolina,8.8
SHSU,-14.8
SMU,6.6
San Diego St.,-6.8
San Jose St.,-8.1
So. Miss,-14.4
Stanford,-11.3
Syracuse,11.1
TCU,14.5
Temple,-12.5
Tennessee,18.8
Texas,23.8
Texas A&M,19.9
Texas St.,-10.9
Texas Tech,10.7
Toledo,0.4
Troy,-0.9
Tulane,7.9
Tulsa,-13.6
UAB,-12.7
UCF,13.7
UCLA,17.9
UConn,-20.4
ULM,-18.3
UMass,-20.1
UNLV,-11.3
USC,25.3
USF,-15.2
UTEP,-15.7
UTSA,1.4
Utah,19.1
Utah St.,-11.9
Va. Tech,-4.0
Vanderbilt,-3.2
Virginia,-10.5
W. Virginia,3.4
WKU,-8.4
WMU,-19.2
Wake Forest,7.6
Wash. St.,10.2
Washington,24.0
Wisconsin,15.2
Wyoming,-8.2
