team,rating
Air Force,4.3
Akron,-22.6
Alabama,22.7
App. St.,4.2
Arizona,11.2
Arizona St.,-12.7
Arkansas,1.8
Arkansas St.,-8.5
Army,-6.1
Auburn,7.3
BGSU,-6.9
BYU,-4.6
Ball St.,-15.8
Baylor,-9.8
Boise St.,5.6
Boston Coll.,-5.9
Buffalo,-16.1
CMU,-20.1
California,0.2
Charlotte,-23.2
Cincinnati,-8.1
Clemson,10.0
Coastal Caro.,-3.8
Colorado,-6.3
Colorado St.,-10.0
Duke,8.6
ECU,-14.2
EMU,-10.6
FAU,-10.9
FIU,-21.8
Florida,5.1
Florida St.,23.6
Fresno St.,-0.5
Ga. Southern,-5.3
Ga. Tech,-2.1
Georgia,29.9
Georgia St.,-10.3
Hawaii,-17.5
Houston,-9.2
Illinois,-3.5
Indiana,-8.4
Iowa,8.4
Iowa St.,7.8
JMU,12.5
JSU,-1.6
Kansas,8.4
Kansas St.,14.5
Kent St.,-27.4
Kentucky,8.4
LSU,17.8
La. Tech,-13.5
Liberty,11.7
Louisiana,-0.6
Louisville,10.1
MTSU,-10.3
Marshall,-9.1
Maryland,8.3
Memphis,1.8
Miami,10.8
Miami-OH,3.0
Michigan,31.1
Michigan St.,-7.7
Minnesota,-2.2
Miss. St.,-1.3
Missouri,17.0
N. Carolina,9.3
N. Texas,-8.2
NC St.,8.5
NIU,-7.7
NMSU,0.6
Navy,-14.9
Nebraska,-0.8
Nevada,-23.3
New Mexico,-17.7
Northwestern,-2.3
Notre Dame,18.2
ODU,-11.1
Ohio,-3.2
Ohio St.,25.8
Oklahoma,15.5
Oklahoma St.,6.9
Ole Miss,15.1
Oregon,25.4
Oregon St.,13.8
Penn St.,25.1
Pittsburgh,-7.9
Purdue,-8.3
Rice,-9.2
Rutgers,1.4
S. Alabama,2.1
S. Carolina,2.6
SHSU,-14.4
SMU,9.5
San Diego St.,-11.6
San Jose St.,-2.8
So. Miss,-16.1
Stanford,-13.2
Syracuse,-2.0
TCU,6.6
Temple,-22.8
Tennessee,12.1
Texas,22.9
Texas A&M,14.6
Texas St.,-5.0
Texas Tech,2.8
Toledo,7.0
Troy,8.7
Tulane,5.6
Tulsa,-15.2
UAB,-16.2
UCF,3.6
UCLA,7.0
UConn,-16.9
ULM,-23.4
UMass,-18.6
UNLV,4.0
USC,7.0
USF,-10.5
UTEP,-16.8
UTSA,3.2
Utah,7.5
Utah St.,-9.5
Va. Tech,3.8
Vanderbilt,-14.6
Virginia,-11.2
W. Virginia,4.5
WKU,-2.4
WMU,-16.9
Wake Forest,-8.4
Wash. St.,3.7
Washington,17.0
Wisconsin,9.0
Wyoming,-4.7
