team,rating
Air Force,5.1
Akron,-20.9
Alabama,21.7
App. St.,1.1
Arizona,8.0
Arizona St.,-7.2
Arkansas,1.2
Arkansas St.,-9.6
Army,-8.8
Auburn,8.7
BGSU,-9.8
BYU,-4.5
Ball St.,-18.1
Baylor,-5.1
Boise St.,2.1
Boston Coll.,-4.1
Buffalo,-13.5
CMU,-17.0
California,-1.4
Charlotte,-19.2
Cincinnati,-2.8
Clemson,12.3
Coastal Caro.,1.7
Colorado,-4.5
Colorado St.,-12.8
Duke,7.7
ECU,-13.5
EMU,-14.6
FAU,-8.3
FIU,-19.7
Florida,5.3
Florida St.,21.7
Fresno St.,2.4
Ga. Southern,-5.0
Ga. Tech,-2.5
Georgia,27.9
Georgia St.,-6.5
Hawaii,-15.4
Houston,-4.9
Illinois,-1.9
Indiana,-8.6
Iowa,8.9
Iowa St.,7.4
JMU,10.3
JSU,-5.9
Kansas,5.8
Kansas St.,17.1
Kent St.,-26.5
Kentucky,8.1
LSU,16.5
La. Tech,-11.2
Liberty,9.0
Louisiana,-3.2
Louisville,12.0
MTSU,-10.9
Marshall,-6.8
Maryland,7.5
Memphis,1.0
Miami,9.2
Miami-OH,-0.2
Michigan,30.8
Michigan St.,-5.5
Minnesota,1.6
Miss. St.,-2.3
Missouri,14.3
N. Carolina,13.6
N. Texas,-10.7
NC St.,5.5
NIU,-9.8
NMSU,-0.7
Navy,-12.7
Nebraska,1.5
Nevada,-20.9
New Mexico,-19.1
Northwestern,-4.1
Notre Dame,17.1
ODU,-11.7
Ohio,-4.4
Ohio St.,26.2
Oklahoma,17.9
Oklahoma St.,5.3
Ole Miss,13.1
Oregon,24.3
Oregon St.,16.2
Penn St.,22.1
Pittsburgh,-4.4
Purdue,-5.4
Rice,-11.2
Rutgers,2.0
S. Alabama,1.0
S. Carolina,2.8
SHSU,-15.6
SMU,9.0
San Diego St.,-12.7
San Jose St.,-3.3
So. Miss,-12.5
Stanford,-12.6
Syracuse,-0.6
TCU,7.3
Temple,-18.1
Tennessee,14.6
Texas,20.5
Texas A&M,15.8
Texas St.,-5.9
Texas Tech,5.7
Toledo,5.4
Troy,7.5
Tulane,4.1
Tulsa,-14.6
UAB,-15.6
UCF,5.7
UCLA,10.8
UConn,-21.5
ULM,-19.1
UMass,-17.5
UNLV,0.4
USC,10.5
USF,-12.3
UTEP,-16.2
UTSA,2.8
Utah,11.0
Utah St.,-8.1
Va. Tech,0.5
Vanderbilt,-14.3
Virginia,-9.4
W. Virginia,1.9
WKU,-4.7
WMU,-13.6
Wake Forest,-3.5
Wash. St.,1.5
Washington,18.9
Wisconsin,7.2
Wyoming,-9.0
