workbook_team,model_team,rating,resolution
Air Force,Air Force,1.1,2023_eligibility
Akron,Akron,-18.3,2023_eligibility
Alabama,Alabama,25.6,2023_eligibility
Appalachian State,App. St.,-2.5,explicit_workbook_alias
Arizona,Arizona,3.3,2023_eligibility
Arizona State,Arizona St.,-4.6,2023_eligibility
Arkansas,Arkansas,13.3,2023_eligibility
Arkansas State,Arkansas St.,-24.0,2023_eligibility
Army,Army,-5.4,2023_eligibility
Auburn,Auburn,14.2,2023_eligibility
Bowling Green,BGSU,-15.0,2023_eligibility
BYU,BYU,5.4,2023_eligibility
Ball State,Ball St.,-19.2,2023_eligibility
Baylor,Baylor,3.4,2023_eligibility
Boise State,Boise St.,-0.4,2023_eligibility
Boston College,Boston Coll.,-7.4,2023_eligibility
Buffalo,Buffalo,-13.0,2023_eligibility
Central Michigan,CMU,-14.8,2023_eligibility
California,California,4.7,2023_eligibility
Charlotte,Charlotte,-17.5,2023_eligibility
Cincinnati,Cincinnati,10.1,2023_eligibility
Clemson,Clemson,17.5,2023_eligibility
Coastal Carolina,Coastal Caro.,-1.5,2023_eligibility
Colorado,Colorado,-2.2,2023_eligibility
Colorado State,Colorado St.,-20.3,2023_eligibility
Duke,Duke,11.8,2023_eligibility
East Carolina,ECU,-13.0,2023_eligibility
Eastern Michigan,EMU,-14.2,2023_eligibility
Florida Atlantic,FAU,-4.4,2023_eligibility
Florida International,FIU,-18.0,2023_eligibility
Florida,Florida,11.2,2023_eligibility
Florida State,Florida St.,24.5,2023_eligibility
Fresno State,Fresno St.,-0.2,2023_eligibility
Georgia Southern,Ga. Southern,-4.5,2023_eligibility
Georgia Tech,Ga. Tech,-1.0,2023_eligibility
Georgia,Georgia,30.6,2023_eligibility
Georgia State,Georgia St.,-5.1,2023_eligibility
Hawaii,Hawaii,-16.8,explicit_workbook_alias
Houston,Houston,-0.6,2023_eligibility
Illinois,Illinois,5.2,2023_eligibility
Indiana,Indiana,-3.2,2023_eligibility
Iowa,Iowa,11.9,2023_eligibility
Iowa State,Iowa St.,4.9,2023_eligibility
James Madison,JMU,0.8,2023_eligibility
Jacksonville State,JSU,-14.9,2023_eligibility
Kansas,Kansas,6.7,2023_eligibility
Kansas State,Kansas St.,20.7,2023_eligibility
Kent State,Kent St.,-26.2,2023_eligibility
Kentucky,Kentucky,12.4,2023_eligibility
LSU,LSU,18.5,2023_eligibility
Louisiana Tech,La. Tech,-13.6,2023_eligibility
Liberty,Liberty,-2.9,2023_eligibility
UL-Lafayette,Louisiana,-6.7,explicit_workbook_alias
Louisville,Louisville,12.9,2023_eligibility
Middle Tennessee,MTSU,-15.6,2023_eligibility
Marshall,Marshall,-1.1,2023_eligibility
Maryland,Maryland,11.6,2023_eligibility
Memphis,Memphis,10.6,2023_eligibility
Miami-FL,Miami,16.3,explicit_workbook_alias
Miami-OH,Miami-OH,-13.8,explicit_workbook_alias
Michigan,Michigan,27.7,2023_eligibility
Michigan State,Michigan St.,11.1,2023_eligibility
Minnesota,Minnesota,9.8,2023_eligibility
Mississippi State,Miss. St.,14.8,2023_eligibility
Missouri,Missouri,8.0,2023_eligibility
North Carolina,N. Carolina,13.7,2023_eligibility
North Texas,N. Texas,-15.4,2023_eligibility
NC State,NC St.,3.1,2023_eligibility
Northern Illinois,NIU,-13.0,2023_eligibility
New Mexico State,NMSU,-18.5,2023_eligibility
Navy,Navy,-14.3,2023_eligibility
Nebraska,Nebraska,-1.7,2023_eligibility
Nevada,Nevada,-22.1,2023_eligibility
New Mexico,New Mexico,-17.6,2023_eligibility
Northwestern,Northwestern,-4.2,2023_eligibility
Notre Dame,Notre Dame,23.1,2023_eligibility
Old Dominion,ODU,-14.9,2023_eligibility
Ohio,Ohio,-8.8,2023_eligibility
Ohio State,Ohio St.,28.6,2023_eligibility
Oklahoma,Oklahoma,24.5,2023_eligibility
Oklahoma State,Oklahoma St.,9.5,2023_eligibility
Ole Miss,Ole Miss,21.6,2023_eligibility
Oregon,Oregon,21.4,2023_eligibility
Oregon State,Oregon St.,18.2,2023_eligibility
Penn State,Penn St.,27.1,2023_eligibility
Pittsburgh,Pittsburgh,9.9,2023_eligibility
Purdue,Purdue,1.8,2023_eligibility
Rice,Rice,-15.6,2023_eligibility
Rutgers,Rutgers,2.8,2023_eligibility
South Alabama,S. Alabama,-2.0,2023_eligibility
South Carolina,S. Carolina,10.2,2023_eligibility
Sam Houston,SHSU,-14.9,2023_eligibility
SMU,SMU,5.6,2023_eligibility
San Diego State,San Diego St.,-7.2,2023_eligibility
San Jose State,San Jose St.,-10.4,explicit_workbook_alias
Southern Miss,So. Miss,-13.7,2023_eligibility
Stanford,Stanford,-11.9,2023_eligibility
Syracuse,Syracuse,12.6,2023_eligibility
TCU,TCU,11.3,2023_eligibility
Temple,Temple,-16.3,2023_eligibility
Tennessee,Tennessee,21.8,2023_eligibility
Texas,Texas,23.2,2023_eligibility
Texas A&M,Texas A&M,16.4,2023_eligibility
Texas State,Texas St.,-13.1,2023_eligibility
Texas Tech,Texas Tech,7.6,2023_eligibility
Toledo,Toledo,2.0,2023_eligibility
Troy,Troy,-1.2,2023_eligibility
Tulane,Tulane,7.3,2023_eligibility
Tulsa,Tulsa,-10.9,2023_eligibility
UAB,UAB,-8.8,2023_eligibility
UCF,UCF,12.1,2023_eligibility
UCLA,UCLA,15.5,2023_eligibility
Connecticut,UConn,-21.0,explicit_workbook_alias
UL-Monroe,ULM,-15.3,explicit_workbook_alias
Massachusetts,UMass,-23.8,2023_eligibility
UNLV,UNLV,-11.8,2023_eligibility
USC,USC,25.2,2023_eligibility
USF,USF,-13.7,explicit_workbook_alias
UTEP,UTEP,-15.9,2023_eligibility
UTSA,UTSA,0.9,2023_eligibility
Utah,Utah,17.6,2023_eligibility
Utah State,Utah St.,-10.0,2023_eligibility
Virginia Tech,Va. Tech,-1.8,2023_eligibility
Vanderbilt,Vanderbilt,-3.6,2023_eligibility
Virginia,Virginia,-8.9,2023_eligibility
West Virginia,W. Virginia,3.0,2023_eligibility
Western Kentucky,WKU,-2.2,2023_eligibility
Western Michigan,WMU,-16.8,2023_eligibility
Wake Forest,Wake Forest,9.4,2023_eligibility
