team,rating
Air Force,8.8
Akron,-21.2
Alabama,21.9
App. St.,-5.4
Arizona,8.4
Arizona St.,-4.1
Arkansas,3.9
Arkansas St.,-12.7
Army,-13.2
Auburn,5.9
BGSU,-13.7
BYU,0.5
Ball St.,-18.4
Baylor,-2.6
Boise St.,2.3
Boston Coll.,-4.4
Buffalo,-12.8
CMU,-18.3
California,0.0
Charlotte,-20.9
Cincinnati,-2.4
Clemson,13.2
Coastal Caro.,0.3
Colorado,-3.4
Colorado St.,-12.1
Duke,8.9
ECU,-15.3
EMU,-15.1
FAU,-7.1
FIU,-18.3
Florida,7.2
Florida St.,20.9
Fresno St.,4.2
Ga. Southern,-4.1
Ga. Tech,-2.3
Georgia,26.4
Georgia St.,-1.8
Hawaii,-18.9
Houston,-1.4
Illinois,0.5
Indiana,-8.8
Iowa,7.1
Iowa St.,7.0
JMU,6.6
JSU,-6.1
Kansas,6.6
Kansas St.,17.8
Kent St.,-25.3
Kentucky,10.8
LSU,18.6
La. Tech,-11.8
Liberty,4.4
Louisiana,-0.8
Louisville,12.0
MTSU,-13.3
Marshall,-6.3
Maryland,8.7
Memphis,2.1
Miami,12.2
Miami-OH,-1.8
Michigan,29.2
Michigan St.,-2.4
Minnesota,3.9
Miss. St.,2.0
Missouri,14.1
N. Carolina,12.6
N. Texas,-8.9
NC St.,3.4
NIU,-9.5
NMSU,-6.5
Navy,-11.4
Nebraska,3.4
Nevada,-18.9
New Mexico,-15.2
Northwestern,-6.8
Notre Dame,20.3
ODU,-10.1
Ohio,-5.1
Ohio St.,24.8
Oklahoma,19.4
Oklahoma St.,7.9
Ole Miss,16.1
Oregon,24.2
Oregon St.,15.5
Penn St.,19.5
Pittsburgh,-0.3
Purdue,-4.4
Rice,-9.2
Rutgers,3.8
S. Alabama,2.9
S. Carolina,1.5
SHSU,-18.3
SMU,6.6
San Diego St.,-11.6
San Jose St.,-4.0
So. Miss,-16.5
Stanford,-10.3
Syracuse,0.0
TCU,9.4
Temple,-19.6
Tennessee,16.2
Texas,22.2
Texas A&M,15.6
Texas St.,-7.1
Texas Tech,7.3
Toledo,3.1
Troy,4.7
Tulane,6.0
Tulsa,-13.3
UAB,-12.9
UCF,6.4
UCLA,15.2
UConn,-19.2
ULM,-17.5
UMass,-20.5
UNLV,-4.7
USC,16.3
USF,-14.0
UTEP,-16.4
UTSA,0.9
Utah,10.7
Utah St.,-9.6
Va. Tech,1.6
Vanderbilt,-9.7
Virginia,-5.2
W. Virginia,2.2
WKU,-5.5
WMU,-16.1
Wake Forest,-1.4
Wash. St.,4.8
Washington,21.2
Wisconsin,9.7
Wyoming,-6.6
