team,rating
Air Force,7.6
Akron,-18.1
Alabama,20.9
App. St.,-4.4
Arizona,6.6
Arizona St.,-6.7
Arkansas,3.8
Arkansas St.,-13.7
Army,-9.3
Auburn,7.6
BGSU,-16.5
BYU,3.9
Ball St.,-19.4
Baylor,-1.7
Boise St.,2.4
Boston Coll.,-7.9
Buffalo,-13.2
CMU,-18.3
California,-0.4
Charlotte,-20.1
Cincinnati,4.5
Clemson,17.3
Coastal Caro.,0.4
Colorado,-2.8
Colorado St.,-12.3
Duke,11.5
ECU,-11.1
EMU,-16.0
FAU,-9.2
FIU,-16.4
Florida,9.6
Florida St.,16.3
Fresno St.,5.2
Ga. Southern,-4.0
Ga. Tech,-0.6
Georgia,24.2
Georgia St.,-4.7
Hawaii,-14.1
Houston,0.7
Illinois,0.4
Indiana,-8.3
Iowa,6.0
Iowa St.,4.7
JMU,2.5
JSU,-8.6
Kansas,7.3
Kansas St.,13.1
Kent St.,-22.8
Kentucky,11.4
LSU,13.3
La. Tech,-11.8
Liberty,-0.9
Louisiana,1.5
Louisville,14.3
MTSU,-15.5
Marshall,-2.1
Maryland,9.7
Memphis,2.5
Miami,14.9
Miami-OH,-2.2
Michigan,25.7
Michigan St.,1.9
Minnesota,1.2
Miss. St.,1.7
Missouri,11.3
N. Carolina,14.4
N. Texas,-11.2
NC St.,4.4
NIU,-10.6
NMSU,-9.7
Navy,-13.1
Nebraska,1.4
Nevada,-18.3
New Mexico,-14.2
Northwestern,-10.4
Notre Dame,17.0
ODU,-9.3
Ohio,-2.6
Ohio St.,22.5
Oklahoma,20.6
Oklahoma St.,4.3
Ole Miss,13.2
Oregon,22.2
Oregon St.,14.4
Penn St.,17.9
Pittsburgh,3.1
Purdue,-1.1
Rice,-11.6
Rutgers,2.1
S. Alabama,2.1
S. Carolina,6.1
SHSU,-17.3
SMU,1.0
San Diego St.,-7.8
San Jose St.,-6.8
So. Miss,-14.0
Stanford,-9.2
Syracuse,6.7
TCU,9.3
Temple,-15.7
Tennessee,16.6
Texas,22.6
Texas A&M,16.9
Texas St.,-5.0
Texas Tech,11.9
Toledo,1.9
Troy,3.5
Tulane,5.0
Tulsa,-7.1
UAB,-9.6
UCF,9.0
UCLA,15.6
UConn,-18.9
ULM,-16.6
UMass,-17.7
UNLV,-6.2
USC,19.2
USF,-12.2
UTEP,-18.1
UTSA,-1.7
Utah,12.6
Utah St.,-5.2
Va. Tech,-2.1
Vanderbilt,-6.4
Virginia,-5.8
W. Virginia,4.8
WKU,-7.3
WMU,-18.8
Wake Forest,3.6
Wash. St.,11.8
Washington,21.9
Wisconsin,13.2
Wyoming,-0.9
