workbook_team,model_team,rating,resolution
Air Force,Air Force,-1.7,2023_eligibility
Akron,Akron,-20.9,2023_eligibility
Alabama,Alabama,28.6,2023_eligibility
Appalachian State,App. St.,-4.8,explicit_workbook_alias
Arizona,Arizona,-0.7,2023_eligibility
Arizona State,Arizona St.,-0.6,2023_eligibility
Arkansas,Arkansas,12.1,2023_eligibility
Arkansas State,Arkansas St.,-14.2,2023_eligibility
Army,Army,-11.2,2023_eligibility
Auburn,Auburn,13.0,2023_eligibility
Bowling Green,BGSU,-20.9,2023_eligibility
BYU,BYU,5.0,2023_eligibility
Ball State,Ball St.,-14.2,2023_eligibility
Baylor,Baylor,10.7,2023_eligibility
Boise State,Boise St.,5.9,2023_eligibility
Boston College,Boston Coll.,-6.2,2023_eligibility
Buffalo,Buffalo,-11.0,2023_eligibility
Central Michigan,CMU,-14.5,2023_eligibility
California,California,1.8,2023_eligibility
Charlotte,Charlotte,-21.9,2023_eligibility
Cincinnati,Cincinnati,5.5,2023_eligibility
Clemson,Clemson,23.3,2023_eligibility
Coastal Carolina,Coastal Caro.,-1.4,2023_eligibility
Colorado,Colorado,-8.8,2023_eligibility
Colorado State,Colorado St.,-16.3,2023_eligibility
Duke,Duke,5.8,2023_eligibility
East Carolina,ECU,-9.2,2023_eligibility
Eastern Michigan,EMU,-13.2,2023_eligibility
Florida Atlantic,FAU,-6.5,2023_eligibility
Florida International,FIU,-20.8,2023_eligibility
Florida,Florida,13.8,2023_eligibility
Florida State,Florida St.,18.7,2023_eligibility
Fresno State,Fresno St.,1.7,2023_eligibility
Georgia Southern,Ga. Southern,-11.8,2023_eligibility
Georgia Tech,Ga. Tech,-5.8,2023_eligibility
Georgia,Georgia,29.8,2023_eligibility
Georgia State,Georgia St.,-9.3,2023_eligibility
Hawaii,Hawaii,-17.6,explicit_workbook_alias
Houston,Houston,4.1,2023_eligibility
Illinois,Illinois,9.3,2023_eligibility
Indiana,Indiana,-6.3,2023_eligibility
Iowa,Iowa,14.6,2023_eligibility
Iowa State,Iowa St.,5.1,2023_eligibility
James Madison,JMU,0.5,2023_eligibility
Jacksonville State,JSU,-18.1,2023_eligibility
Kansas,Kansas,1.3,2023_eligibility
Kansas State,Kansas St.,14.8,2023_eligibility
Kent State,Kent St.,-22.9,2023_eligibility
Kentucky,Kentucky,13.3,2023_eligibility
LSU,LSU,23.1,2023_eligibility
Louisiana Tech,La. Tech,-14.7,2023_eligibility
Liberty,Liberty,-6.3,2023_eligibility
UL-Lafayette,Louisiana,-5.8,explicit_workbook_alias
Louisville,Louisville,9.8,2023_eligibility
Middle Tennessee,MTSU,-13.2,2023_eligibility
