workbook_team,model_team,rating,resolution
Minnesota,Minnesota,1.6,2023_eligibility
Mississippi State,Miss. St.,-2.3,2023_eligibility
Missouri,Missouri,14.3,2023_eligibility
North Carolina,N. Carolina,13.6,2023_eligibility
North Texas,N. Texas,-10.7,2023_eligibility
NC State,NC St.,5.5,2023_eligibility
Northern Illinois,NIU,-9.8,2023_eligibility
New Mexico State,NMSU,-0.7,2023_eligibility
Navy,Navy,-12.7,2023_eligibility
Nebraska,Nebraska,1.5,2023_eligibility
Nevada,Nevada,-20.9,2023_eligibility
New Mexico,New Mexico,-19.1,2023_eligibility
Northwestern,Northwestern,-4.1,2023_eligibility
Notre Dame,Notre Dame,17.1,2023_eligibility
Old Dominion,ODU,-11.7,2023_eligibility
Ohio,Ohio,-4.4,2023_eligibility
Ohio State,Ohio St.,26.2,2023_eligibility
Oklahoma,Oklahoma,17.9,2023_eligibility
Oklahoma State,Oklahoma St.,5.3,2023_eligibility
Ole Miss,Ole Miss,13.1,2023_eligibility
Oregon,Oregon,24.3,2023_eligibility
Oregon State,Oregon St.,16.2,2023_eligibility
Penn State,Penn St.,22.1,2023_eligibility
Pittsburgh,Pittsburgh,-4.4,2023_eligibility
Purdue,Purdue,-5.4,2023_eligibility
Rice,Rice,-11.2,2023_eligibility
Rutgers,Rutgers,2.0,2023_eligibility
South Alabama,S. Alabama,1.0,2023_eligibility
South Carolina,S. Carolina,2.8,2023_eligibility
Sam Houston,SHSU,-15.6,2023_eligibility
SMU,SMU,9.0,2023_eligibility
San Diego State,San Diego St.,-12.7,2023_eligibility
San Jose State,San Jose St.,-3.3,explicit_workbook_alias
Southern Miss,So. Miss,-12.5,2023_eligibility
Stanford,Stanford,-12.6,2023_eligibility
Syracuse,Syracuse,-0.6,2023_eligibility
TCU,TCU,7.3,2023_eligibility
Temple,Temple,-18.1,2023_eligibility
Tennessee,Tennessee,14.6,2023_eligibility
Texas,Texas,20.5,2023_eligibility
Texas A&M,Texas A&M,15.8,2023_eligibility
Texas State,Texas St.,-5.9,2023_eligibility
Texas Tech,Texas Tech,5.7,2023_eligibility
Toledo,Toledo,5.4,2023_eligibility
Troy,Troy,7.5,2023_eligibility
Tulane,Tulane,4.1,2023_eligibility
Tulsa,Tulsa,-14.6,2023_eligibility
UAB,UAB,-15.6,2023_eligibility
UCF,UCF,5.7,2023_eligibility
UCLA,UCLA,10.8,2023_eligibility
Connecticut,UConn,-21.5,explicit_workbook_alias
UL-Monroe,ULM,-19.1,explicit_workbook_alias
Massachusetts,UMass,-17.5,2023_eligibility
UNLV,UNLV,0.4,2023_eligibility
USC,USC,10.5,2023_eligibility
USF,USF,-12.3,explicit_workbook_alias
UTEP,UTEP,-16.2,2023_eligibility
UTSA,UTSA,2.8,2023_eligibility
Utah,Utah,11.0,2023_eligibility
Utah State,Utah St.,-8.1,2023_eligibility
Virginia Tech,Va. Tech,0.5,2023_eligibility
Vanderbilt,Vanderbilt,-14.3,2023_eligibility
Virginia,Virginia,-9.4,2023_eligibility
West Virginia,W. Virginia,1.9,2023_eligibility
Western Kentucky,WKU,-4.7,2023_eligibility
Western Michigan,WMU,-13.6,2023_eligibility
Wake Forest,Wake Forest,-3.5,2023_eligibility
Washington State,Wash. St.,1.5,2023_eligibility
Washington,Washington,18.9,2023_eligibility
Wisconsin,Wisconsin,7.2,2023_eligibility
Wyoming,Wyoming,-9.0,2023_eligibility
