workbook_team,model_team,rating,resolution
Air Force,Air Force,5.1,2023_eligibility
Akron,Akron,-20.9,2023_eligibility
Alabama,Alabama,21.7,2023_eligibility
Appalachian State,App. St.,1.1,explicit_workbook_alias
Arizona,Arizona,8.0,2023_eligibility
Arizona State,Arizona St.,-7.2,2023_eligibility
Arkansas,Arkansas,1.2,2023_eligibility
Arkansas State,Arkansas St.,-9.6,2023_eligibility
Army,Army,-8.8,2023_eligibility
Auburn,Auburn,8.7,2023_eligibility
Bowling Green,BGSU,-9.8,2023_eligibility
BYU,BYU,-4.5,2023_eligibility
Ball State,Ball St.,-18.1,2023_eligibility
Baylor,Baylor,-5.1,2023_eligibility
Boise State,Boise St.,2.1,2023_eligibility
Boston College,Boston Coll.,-4.1,2023_eligibility
Buffalo,Buffalo,-13.5,2023_eligibility
Central Michigan,CMU,-17.0,2023_eligibility
California,California,-1.4,2023_eligibility
Charlotte,Charlotte,-19.2,2023_eligibility
Cincinnati,Cincinnati,-2.8,2023_eligibility
Clemson,Clemson,12.3,2023_eligibility
Coastal Carolina,Coastal Caro.,1.7,2023_eligibility
Colorado,Colorado,-4.5,2023_eligibility
Colorado State,Colorado St.,-12.8,2023_eligibility
Duke,Duke,7.7,2023_eligibility
East Carolina,ECU,-13.5,2023_eligibility
Eastern Michigan,EMU,-14.6,2023_eligibility
Florida Atlantic,FAU,-8.3,2023_eligibility
Florida International,FIU,-19.7,2023_eligibility
Florida,Florida,5.3,2023_eligibility
Florida State,Florida St.,21.7,2023_eligibility
Fresno State,Fresno St.,2.4,2023_eligibility
Georgia Southern,Ga. Southern,-5.0,2023_eligibility
Georgia Tech,Ga. Tech,-2.5,2023_eligibility
Georgia,Georgia,27.9,2023_eligibility
Georgia State,Georgia St.,-6.5,2023_eligibility
Hawaii,Hawaii,-15.4,explicit_workbook_alias
Houston,Houston,-4.9,2023_eligibility
Illinois,Illinois,-1.9,2023_eligibility
Indiana,Indiana,-8.6,2023_eligibility
Iowa,Iowa,8.9,2023_eligibility
Iowa State,Iowa St.,7.4,2023_eligibility
James Madison,JMU,10.3,2023_eligibility
Jacksonville State,JSU,-5.9,2023_eligibility
Kansas,Kansas,5.8,2023_eligibility
Kansas State,Kansas St.,17.1,2023_eligibility
Kent State,Kent St.,-26.5,2023_eligibility
Kentucky,Kentucky,8.1,2023_eligibility
LSU,LSU,16.5,2023_eligibility
Louisiana Tech,La. Tech,-11.2,2023_eligibility
Liberty,Liberty,9.0,2023_eligibility
UL-Lafayette,Louisiana,-3.2,explicit_workbook_alias
Louisville,Louisville,12.0,2023_eligibility
Middle Tennessee,MTSU,-10.9,2023_eligibility
Marshall,Marshall,-6.8,2023_eligibility
Maryland,Maryland,7.5,2023_eligibility
Memphis,Memphis,1.0,2023_eligibility
Miami-FL,Miami,9.2,explicit_workbook_alias
Miami-OH,Miami-OH,-0.2,explicit_workbook_alias
Michigan,Michigan,30.8,2023_eligibility
Michigan State,Michigan St.,-5.5,2023_eligibility
