team,rating
Air Force,6.3
Akron,-17.7
Alabama,22.3
App. St.,-2.5
Arizona,4.5
Arizona St.,-8.1
Arkansas,8.8
Arkansas St.,-15.7
Army,-7.4
Auburn,9.1
BGSU,-18.5
BYU,4.3
Ball St.,-19.2
Baylor,0.7
Boise St.,1.8
Boston Coll.,-10.2
Buffalo,-16.0
CMU,-18.1
California,1.4
Charlotte,-18.7
Cincinnati,3.9
Clemson,17.1
Coastal Caro.,1.5
Colorado,-4.4
Colorado St.,-15.8
Duke,14.6
ECU,-11.7
EMU,-15.5
FAU,-10.8
FIU,-18.3
Florida,11.9
Florida St.,17.4
Fresno St.,5.2
Ga. Southern,-3.3
Ga. Tech,-2.3
Georgia,26.2
Georgia St.,-1.2
Hawaii,-16.4
Houston,0.1
Illinois,3.8
Indiana,-6.9
Iowa,7.1
Iowa St.,4.3
JMU,1.7
JSU,-9.5
Kansas,7.1
Kansas St.,16.0
Kent St.,-23.2
Kentucky,14.7
LSU,15.6
La. Tech,-14.3
Liberty,3.8
Louisiana,0.6
Louisville,12.8
MTSU,-15.4
Marshall,-1.1
Maryland,11.9
Memphis,6.5
Miami,18.6
Miami-OH,-5.4
Michigan,26.7
Michigan St.,1.6
Minnesota,3.1
Miss. St.,4.6
Missouri,11.3
N. Carolina,14.5
N. Texas,-13.4
NC St.,3.1
NIU,-17.8
NMSU,-12.8
Navy,-13.8
Nebraska,1.9
Nevada,-20.8
New Mexico,-16.1
Northwestern,-9.1
Notre Dame,19.7
ODU,-12.1
Ohio,-5.8
Ohio St.,25.4
Oklahoma,22.6
Oklahoma St.,1.9
Ole Miss,15.3
Oregon,24.3
Oregon St.,15.8
Penn St.,21.6
Pittsburgh,3.7
Purdue,-3.3
Rice,-13.3
Rutgers,0.2
S. Alabama,0.5
S. Carolina,6.3
SHSU,-19.3
SMU,2.3
San Diego St.,-7.7
San Jose St.,-9.0
So. Miss,-13.9
Stanford,-9.3
Syracuse,12.6
TCU,14.0
Temple,-14.0
Tennessee,17.9
Texas,24.0
Texas A&M,19.6
Texas St.,-8.3
Texas Tech,8.7
Toledo,2.1
Troy,-1.8
Tulane,7.6
Tulsa,-11.4
UAB,-13.0
UCF,12.1
UCLA,16.9
UConn,-22.4
ULM,-18.0
UMass,-18.3
UNLV,-8.2
USC,24.3
USF,-13.0
UTEP,-17.3
UTSA,-2.9
Utah,16.8
Utah St.,-11.5
Va. Tech,-4.5
Vanderbilt,-5.3
Virginia,-10.9
W. Virginia,2.5
WKU,-8.3
WMU,-19.6
Wake Forest,3.9
Wash. St.,13.0
Washington,25.1
Wisconsin,13.1
Wyoming,-6.5
