team,rating
Air Force,7.8
Akron,-15.4
Alabama,22.3
App. St.,-3.1
Arizona,3.7
Arizona St.,-5.8
Arkansas,6.6
Arkansas St.,-11.1
Army,-8.2
Auburn,8.0
BGSU,-14.0
BYU,3.6
Ball St.,-16.8
Baylor,1.9
Boise St.,3.3
Boston Coll.,-9.4
Buffalo,-13.4
CMU,-14.6
California,-1.3
Charlotte,-18.6
Cincinnati,3.8
Clemson,17.2
Coastal Caro.,2.2
Colorado,-2.4
Colorado St.,-10.1
Duke,11.3
ECU,-10.3
EMU,-15.1
FAU,-10.2
FIU,-16.0
Florida,8.9
Florida St.,16.1
Fresno St.,5.1
Ga. Southern,-3.1
Ga. Tech,-2.9
Georgia,23.0
Georgia St.,-3.9
Hawaii,-14.0
Houston,-0.2
Illinois,2.4
Indiana,-7.4
Iowa,7.1
Iowa St.,3.4
JMU,2.5
JSU,-9.2
Kansas,4.0
Kansas St.,16.3
Kent St.,-20.0
Kentucky,13.8
LSU,13.4
La. Tech,-9.6
Liberty,4.1
Louisiana,-1.0
Louisville,11.3
MTSU,-13.8
Marshall,2.0
Maryland,10.9
Memphis,3.9
Miami,18.5
Miami-OH,-3.0
Michigan,25.0
Michigan St.,2.5
Minnesota,4.0
Miss. St.,2.2
Missouri,12.1
N. Carolina,13.6
N. Texas,-9.9
NC St.,2.5
NIU,-13.5
NMSU,-11.0
Navy,-13.0
Nebraska,0.5
Nevada,-18.1
New Mexico,-13.7
Northwestern,-8.7
Notre Dame,20.6
ODU,-9.8
Ohio,-5.1
Ohio St.,24.5
Oklahoma,20.6
Oklahoma St.,1.7
Ole Miss,13.7
Oregon,22.0
Oregon St.,15.3
Penn St.,18.2
Pittsburgh,2.2
Purdue,1.3
Rice,-10.9
Rutgers,2.2
S. Alabama,0.1
S. Carolina,5.6
SHSU,-17.8
SMU,2.7
San Diego St.,-8.0
San Jose St.,-5.4
So. Miss,-12.1
Stanford,-9.6
Syracuse,8.7
TCU,10.4
Temple,-13.2
Tennessee,16.3
Texas,23.1
Texas A&M,19.2
Texas St.,-6.0
Texas Tech,10.6
Toledo,1.4
Troy,1.8
Tulane,5.7
Tulsa,-7.1
UAB,-11.3
UCF,11.2
UCLA,16.1
UConn,-19.9
ULM,-13.5
UMass,-17.2
UNLV,-6.1
USC,19.8
USF,-10.4
UTEP,-15.8
UTSA,-1.5
Utah,12.5
Utah St.,-9.1
Va. Tech,-0.3
Vanderbilt,-4.2
Virginia,-8.5
W. Virginia,4.3
WKU,-6.5
WMU,-16.2
Wake Forest,3.7
Wash. St.,14.4
Washington,21.9
Wisconsin,13.2
Wyoming,-3.1
