workbook_team,model_team,rating,resolution
Tulsa,Tulsa,-14.7,2023_eligibility
UAB,UAB,-13.3,2023_eligibility
UCF,UCF,4.7,2023_eligibility
UCLA,UCLA,13.3,2023_eligibility
Connecticut,UConn,-20.8,explicit_workbook_alias
UL-Monroe,ULM,-18.3,explicit_workbook_alias
Massachusetts,UMass,-17.7,2023_eligibility
UNLV,UNLV,-2.4,2023_eligibility
USC,USC,14.9,2023_eligibility
USF,USF,-13.9,explicit_workbook_alias
UTEP,UTEP,-15.9,2023_eligibility
UTSA,UTSA,1.4,2023_eligibility
Utah,Utah,12.8,2023_eligibility
Utah State,Utah St.,-10.0,2023_eligibility
Virginia Tech,Va. Tech,-1.1,2023_eligibility
Vanderbilt,Vanderbilt,-11.0,2023_eligibility
Virginia,Virginia,-7.7,2023_eligibility
West Virginia,W. Virginia,4.2,2023_eligibility
Western Kentucky,WKU,-5.0,2023_eligibility
Western Michigan,WMU,-15.6,2023_eligibility
Wake Forest,Wake Forest,-0.9,2023_eligibility
Washington State,Wash. St.,3.4,2023_eligibility
Washington,Washington,20.5,2023_eligibility
Wisconsin,Wisconsin,8.9,2023_eligibility
Wyoming,Wyoming,-7.0,2023_eligibility
