workbook_team,model_team,rating,resolution
Air Force,Air Force,7.6,2023_eligibility
Akron,Akron,-18.1,2023_eligibility
Alabama,Alabama,20.9,2023_eligibility
Appalachian State,App. St.,-4.4,explicit_workbook_alias
Arizona,Arizona,6.6,2023_eligibility
Arizona State,Arizona St.,-6.7,2023_eligibility
Arkansas,Arkansas,3.8,2023_eligibility
Arkansas State,Arkansas St.,-13.7,2023_eligibility
Army,Army,-9.3,2023_eligibility
Auburn,Auburn,7.6,2023_eligibility
Bowling Green,BGSU,-16.5,2023_eligibility
BYU,BYU,3.9,2023_eligibility
Ball State,Ball St.,-19.4,2023_eligibility
Baylor,Baylor,-1.7,2023_eligibility
Boise State,Boise St.,2.4,2023_eligibility
Boston College,Boston Coll.,-7.9,2023_eligibility
Buffalo,Buffalo,-13.2,2023_eligibility
Central Michigan,CMU,-18.3,2023_eligibility
California,California,-0.4,2023_eligibility
Charlotte,Charlotte,-20.1,2023_eligibility
Cincinnati,Cincinnati,4.5,2023_eligibility
Clemson,Clemson,17.3,2023_eligibility
Coastal Carolina,Coastal Caro.,0.4,2023_eligibility
Colorado,Colorado,-2.8,2023_eligibility
Colorado State,Colorado St.,-12.3,2023_eligibility
Duke,Duke,11.5,2023_eligibility
East Carolina,ECU,-11.1,2023_eligibility
Eastern Michigan,EMU,-16.0,2023_eligibility
Florida Atlantic,FAU,-9.2,2023_eligibility
Florida International,FIU,-16.4,2023_eligibility
Florida,Florida,9.6,2023_eligibility
Florida State,Florida St.,16.3,2023_eligibility
Fresno State,Fresno St.,5.2,2023_eligibility
Georgia Southern,Ga. Southern,-4.0,2023_eligibility
Georgia Tech,Ga. Tech,-0.6,2023_eligibility
Georgia,Georgia,24.2,2023_eligibility
Georgia State,Georgia St.,-4.7,2023_eligibility
Hawaii,Hawaii,-14.1,explicit_workbook_alias
Houston,Houston,0.7,2023_eligibility
Illinois,Illinois,0.4,2023_eligibility
Indiana,Indiana,-8.3,2023_eligibility
Iowa,Iowa,6.0,2023_eligibility
Iowa State,Iowa St.,4.7,2023_eligibility
James Madison,JMU,2.5,2023_eligibility
Jacksonville State,JSU,-8.6,2023_eligibility
Kansas,Kansas,7.3,2023_eligibility
Kansas State,Kansas St.,13.1,2023_eligibility
Kent State,Kent St.,-22.8,2023_eligibility
Kentucky,Kentucky,11.4,2023_eligibility
LSU,LSU,13.3,2023_eligibility
Louisiana Tech,La. Tech,-11.8,2023_eligibility
Liberty,Liberty,-0.9,2023_eligibility
UL-Lafayette,Louisiana,1.5,explicit_workbook_alias
Louisville,Louisville,14.3,2023_eligibility
Middle Tennessee,MTSU,-15.5,2023_eligibility
Marshall,Marshall,-2.1,2023_eligibility
Maryland,Maryland,9.7,2023_eligibility
Memphis,Memphis,2.5,2023_eligibility
Miami-FL,Miami,14.9,explicit_workbook_alias
Miami-OH,Miami-OH,-2.2,explicit_workbook_alias
Michigan,Michigan,25.7,2023_eligibility
