workbook_team,model_team,rating,resolution
Michigan State,Michigan St.,1.9,2023_eligibility
Minnesota,Minnesota,1.2,2023_eligibility
Mississippi State,Miss. St.,1.7,2023_eligibility
Missouri,Missouri,11.3,2023_eligibility
North Carolina,N. Carolina,14.4,2023_eligibility
North Texas,N. Texas,-11.2,2023_eligibility
NC State,NC St.,4.4,2023_eligibility
Northern Illinois,NIU,-10.6,2023_eligibility
New Mexico State,NMSU,-9.7,2023_eligibility
Navy,Navy,-13.1,2023_eligibility
Nebraska,Nebraska,1.4,2023_eligibility
Nevada,Nevada,-18.3,2023_eligibility
New Mexico,New Mexico,-14.2,2023_eligibility
Northwestern,Northwestern,-10.4,2023_eligibility
Notre Dame,Notre Dame,17.0,2023_eligibility
Old Dominion,ODU,-9.3,2023_eligibility
Ohio,Ohio,-2.6,2023_eligibility
Ohio State,Ohio St.,22.5,2023_eligibility
Oklahoma,Oklahoma,20.6,2023_eligibility
Oklahoma State,Oklahoma St.,4.3,2023_eligibility
Ole Miss,Ole Miss,13.2,2023_eligibility
Oregon,Oregon,22.2,2023_eligibility
Oregon State,Oregon St.,14.4,2023_eligibility
Penn State,Penn St.,17.9,2023_eligibility
Pittsburgh,Pittsburgh,3.1,2023_eligibility
Purdue,Purdue,-1.1,2023_eligibility
Rice,Rice,-11.6,2023_eligibility
Rutgers,Rutgers,2.1,2023_eligibility
South Alabama,S. Alabama,2.1,2023_eligibility
South Carolina,S. Carolina,6.1,2023_eligibility
Sam Houston,SHSU,-17.3,2023_eligibility
SMU,SMU,1.0,2023_eligibility
San Diego State,San Diego St.,-7.8,2023_eligibility
San Jose State,San Jose St.,-6.8,explicit_workbook_alias
Southern Miss,So. Miss,-14.0,2023_eligibility
Stanford,Stanford,-9.2,2023_eligibility
Syracuse,Syracuse,6.7,2023_eligibility
TCU,TCU,9.3,2023_eligibility
Temple,Temple,-15.7,2023_eligibility
Tennessee,Tennessee,16.6,2023_eligibility
Texas,Texas,22.6,2023_eligibility
Texas A&M,Texas A&M,16.9,2023_eligibility
Texas State,Texas St.,-5.0,2023_eligibility
Texas Tech,Texas Tech,11.9,2023_eligibility
Toledo,Toledo,1.9,2023_eligibility
Troy,Troy,3.5,2023_eligibility
Tulane,Tulane,5.0,2023_eligibility
Tulsa,Tulsa,-7.1,2023_eligibility
UAB,UAB,-9.6,2023_eligibility
UCF,UCF,9.0,2023_eligibility
UCLA,UCLA,15.6,2023_eligibility
Connecticut,UConn,-18.9,explicit_workbook_alias
UL-Monroe,ULM,-16.6,explicit_workbook_alias
Massachusetts,UMass,-17.7,2023_eligibility
UNLV,UNLV,-6.2,2023_eligibility
USC,USC,19.2,2023_eligibility
USF,USF,-12.2,explicit_workbook_alias
UTEP,UTEP,-18.1,2023_eligibility
UTSA,UTSA,-1.7,2023_eligibility
Utah,Utah,12.6,2023_eligibility
Utah State,Utah St.,-5.2,2023_eligibility
Virginia Tech,Va. Tech,-2.1,2023_eligibility
Vanderbilt,Vanderbilt,-6.4,2023_eligibility
Virginia,Virginia,-5.8,2023_eligibility
West Virginia,W. Virginia,4.8,2023_eligibility
Western Kentucky,WKU,-7.3,2023_eligibility
Western Michigan,WMU,-18.8,2023_eligibility
Wake Forest,Wake Forest,3.6,2023_eligibility
Washington State,Wash. St.,11.8,2023_eligibility
Washington,Washington,21.9,2023_eligibility
Wisconsin,Wisconsin,13.2,2023_eligibility
Wyoming,Wyoming,-0.9,2023_eligibility
