season,display_team,model_team,classification,source,source_url,notes
2023,Florida International,FIU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Florida State,Florida St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Fresno State,Fresno St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Georgia,Georgia,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Georgia Southern,Ga. Southern,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Georgia State,Georgia St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Georgia Tech,Ga. Tech,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Hawai'i,Hawaii,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Houston,Houston,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Illinois,Illinois,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Indiana,Indiana,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Iowa,Iowa,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Iowa State,Iowa St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Jacksonville State,JSU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,James Madison,JMU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Kansas,Kansas,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Kansas State,Kansas St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Kent State,Kent St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Kentucky,Kentucky,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,LSU,LSU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Liberty,Liberty,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Louisiana,Louisiana,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Louisiana Tech,La. Tech,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Louisville,Louisville,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Marshall,Marshall,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Maryland,Maryland,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Massachusetts,UMass,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Memphis,Memphis,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Miami,Miami,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Miami (OH),Miami-OH,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Michigan,Michigan,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Michigan State,Michigan St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Middle Tennessee,MTSU,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Minnesota,Minnesota,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Mississippi State,Miss. St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Missouri,Missouri,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,NC State,NC St.,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Navy,Navy,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Nebraska,Nebraska,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
2023,Nevada,Nevada,fbs,CFBD teams/fbs 2023,https://api.collegefootballdata.com/teams/fbs?year=2023,Historical 2023 FBS eligibility; model_team matches archived ESPN SP+ key.
