event_id,season,week,kickoff,home_team,away_team,provider,home_spread,home_spread_price,away_spread_price,opening_home_spread,home_score,away_score,line_source
401531879,2023,5,2023-09-30T23:00:00.000Z,Georgia State,Troy,DraftKings,-1.5,,,-1.5,7,28,CFBD /lines archival DraftKings
401531883,2023,5,2023-09-30T23:00:00.000Z,Southern Miss,Texas State,DraftKings,5,,,7,36,50,CFBD /lines archival DraftKings
401520281,2023,5,2023-09-30T23:30:00.000Z,Iowa,Michigan State,DraftKings,-12.5,,,-11.5,26,16,CFBD /lines archival DraftKings
401520291,2023,5,2023-09-30T23:30:00.000Z,Tennessee,South Carolina,DraftKings,-12.5,,,-13,41,20,CFBD /lines archival DraftKings
401525438,2023,5,2023-09-30T23:30:00.000Z,Duke,Notre Dame,DraftKings,5.5,,,6.5,14,21,CFBD /lines archival DraftKings
401531404,2023,5,2023-09-30T23:30:00.000Z,SMU,Charlotte,DraftKings,-23.5,,,-23,34,16,CFBD /lines archival DraftKings
401525516,2023,5,2023-10-01T00:00:00.000Z,Virginia Tech,Pittsburgh,DraftKings,2.5,,,2.5,38,21,CFBD /lines archival DraftKings
401525853,2023,5,2023-10-01T00:00:00.000Z,TCU,West Virginia,DraftKings,-12.5,,,-10.5,21,24,CFBD /lines archival DraftKings
401531882,2023,5,2023-10-01T00:00:00.000Z,UL Monroe,App State,DraftKings,13.5,,,13.5,40,41,CFBD /lines archival DraftKings
401532589,2023,5,2023-10-01T00:00:00.000Z,Air Force,San Diego State,DraftKings,-10.5,,,-10.5,49,10,CFBD /lines archival DraftKings
401520285,2023,5,2023-10-01T01:00:00.000Z,Mississippi State,Alabama,DraftKings,14.5,,,11.5,17,40,CFBD /lines archival DraftKings
401524021,2023,5,2023-10-01T02:00:00.000Z,Arizona,Washington,DraftKings,20,,,18,24,31,CFBD /lines archival DraftKings
401532587,2023,5,2023-10-01T02:30:00.000Z,Fresno State,Nevada,DraftKings,-24.5,,,-24.5,27,9,CFBD /lines archival DraftKings
